Y,X,Tile Offset,Attribute Mixing,Attributes
d8,e8,1f,LocalAttribs,1
d8,f0,1,LocalAttribs,1
d8,f8,2,LocalAttribs,1
d8,0,3,LocalAttribs,1
d8,8,4,LocalAttribs,1
d8,10,43,LocalAttribs,1
e0,e8,1f,LocalAttribs,1
e0,f0,5,LocalAttribs,1
e0,f8,6,LocalAttribs,1
e0,0,7,LocalAttribs,1
e0,8,8,LocalAttribs,1
e0,10,43,LocalAttribs,1
e8,e8,1f,LocalAttribs,1
e8,f0,9,LocalAttribs,1
e8,f8,a,LocalAttribs,1
e8,0,b,LocalAttribs,1
e8,8,c,LocalAttribs,1
e8,10,d,LocalAttribs,1
f0,e8,e,LocalAttribs,4
f0,f0,f,LocalAttribs,4
f0,f8,10,LocalAttribs,4
f0,0,11,LocalAttribs,0
f0,8,12,LocalAttribs,3
f0,10,13,LocalAttribs,4
f8,e8,14,LocalAttribs,4
f8,f0,15,LocalAttribs,4
f8,f8,16,LocalAttribs,4
f8,0,17,LocalAttribs,3
f8,8,18,LocalAttribs,3
f8,10,19,LocalAttribs,4
0,e8,1f,LocalAttribs,1
0,f0,1a,LocalAttribs,4
0,f8,1b,LocalAttribs,3
0,0,1c,LocalAttribs,3
0,8,1d,LocalAttribs,4
0,10,1e,LocalAttribs,4
