Y,X,Tile Offset,Attribute Mixing,Attributes
d8,e8,1f,LocalAttribs,1
d8,f0,21,LocalAttribs,1
d8,f8,22,LocalAttribs,1
d8,0,23,LocalAttribs,1
d8,8,24,LocalAttribs,1
d8,10,43,LocalAttribs,1
e0,e8,1f,LocalAttribs,1
e0,f0,25,LocalAttribs,1
e0,f8,26,LocalAttribs,1
e0,0,27,LocalAttribs,1
e0,8,28,LocalAttribs,1
e0,10,43,LocalAttribs,1
e8,e8,1f,LocalAttribs,1
e8,f0,29,LocalAttribs,1
e8,f8,2a,LocalAttribs,1
e8,0,2b,LocalAttribs,1
e8,8,2c,LocalAttribs,1
e8,10,2d,LocalAttribs,1
e8,18,2e,LocalAttribs,0
f0,e8,2f,LocalAttribs,0
f0,f0,30,LocalAttribs,0
f0,f8,31,LocalAttribs,0
f0,0,32,LocalAttribs,0
f0,8,33,LocalAttribs,3
f0,10,34,LocalAttribs,0
f0,18,35,LocalAttribs,2
f8,e8,36,LocalAttribs,4
f8,f0,37,LocalAttribs,4
f8,f8,38,LocalAttribs,4
f8,0,39,LocalAttribs,3
f8,8,3a,LocalAttribs,4
f8,10,3b,LocalAttribs,4
f8,18,3c,LocalAttribs,2
0,e8,3d,LocalAttribs,4
0,f0,3e,LocalAttribs,4
0,f8,3f,LocalAttribs,3
0,0,40,LocalAttribs,3
0,8,41,LocalAttribs,4
0,10,42,LocalAttribs,4
