XX, X0, X1, X2, X3, X4, X5, X6, X7, X8, X9, XA, XB, XC, XD, XE, XF
0X,$07,$07,$07,$07,$07,$07,$06,$05,$06,$07,$07,$07,$07,$07,$07,$07
1X,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
2X,$02,$01,$03,$05,$04,$05,$05,$02,$02,$02,$03,$05,$02,$04,$01,$07
3X,$04,$04,$04,$04,$04,$04,$04,$04,$04,$04,$01,$01,$04,$04,$04,$05
4X,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05
5X,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$02,$07,$02,$03,$04
6X,$02,$05,$04,$04,$04,$04,$03,$04,$04,$01,$02,$04,$01,$05,$04,$04
7X,$04,$04,$04,$04,$04,$04,$04,$05,$04,$04,$04,$03,$01,$03,$07,$07
8X,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05
9X,$05,$05,$05,$05,$05,$05,$05,$07,$07,$07,$07,$07,$07,$07,$03,$05
AX,$05,$04,$03,$04,$04,$05,$04,$03,$04,$04,$05,$04,$03,$04,$04,$05
BX,$04,$03,$04,$04,$04,$04,$04,$06,$07,$07,$07,$05,$05,$05,$05,$05
CX,$05,$05,$05,$05,$05,$07,$07,$07,$07,$07,$07,$07,$07,$06,$07,$07
DX,$03,$03,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
EX,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
FX,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
