XX, X0, X1, X2, X3, X4, X5, X6, X7, X8, X9, XA, XB, XC, XD, XE, XF
0X,$07,$07,$07,$07,$07,$07,$07,$05,$07,$07,$07,$07,$07,$07,$07,$07
1X,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$06,$07,$07
2X,$02,$02,$03,$05,$05,$05,$06,$02,$03,$03,$03,$05,$02,$04,$01,$07
3X,$05,$05,$05,$05,$05,$05,$05,$05,$05,$05,$01,$01,$04,$04,$04,$06
4X,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06
5X,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$03,$07,$03,$03,$04
6X,$02,$06,$05,$05,$05,$05,$04,$05,$05,$02,$03,$05,$02,$06,$05,$05
7X,$05,$05,$05,$05,$05,$05,$05,$06,$05,$05,$05,$04,$02,$04,$07,$07
8X,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06,$06
9X,$06,$06,$06,$06,$06,$06,$06,$06,$07,$07,$07,$07,$07,$06,$07,$07
AX,$06,$05,$02,$05,$05,$06,$05,$02,$05,$05,$06,$05,$03,$05,$05,$06
BX,$05,$04,$05,$05,$05,$05,$05,$07,$07,$07,$07,$05,$05,$05,$05,$05
CX,$05,$05,$05,$05,$05,$07,$07,$07,$07,$07,$07,$07,$07,$06,$07,$07
DX,$03,$03,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
EX,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
FX,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07,$07
