Y,X,Tile Offset,Attribute Mixing,Attributes
e8,e0,44,LocalAttribs,0
e8,e8,45,LocalAttribs,0
e8,10,45,LocalAttribs,20
e8,18,44,LocalAttribs,20
f0,e0,44,LocalAttribs,0
f0,e8,45,LocalAttribs,0
f0,10,45,LocalAttribs,20
f0,18,44,LocalAttribs,20
f8,e0,44,LocalAttribs,0
f8,e8,45,LocalAttribs,0
f8,10,45,LocalAttribs,20
f8,18,44,LocalAttribs,20
0,e0,44,LocalAttribs,0
0,e8,45,LocalAttribs,0
0,10,45,LocalAttribs,20
0,18,44,LocalAttribs,20
8,e0,44,LocalAttribs,0
8,e8,45,LocalAttribs,0
8,10,45,LocalAttribs,20
8,18,44,LocalAttribs,20
10,e0,44,LocalAttribs,0
10,e8,45,LocalAttribs,0
10,10,45,LocalAttribs,20
10,18,44,LocalAttribs,20
18,e0,44,LocalAttribs,0
18,e8,45,LocalAttribs,0
18,10,45,LocalAttribs,20
18,18,44,LocalAttribs,20
