X,Y,Tile Offset,Attribute Mixing,Attributes
e0,f0,44,LocalAttribs,0
e0,f8,45,LocalAttribs,0
e0,0,46,LocalAttribs,0
e0,8,45,LocalAttribs,20
e0,10,44,LocalAttribs,20
e8,f0,47,LocalAttribs,0
e8,f8,48,LocalAttribs,0
e8,0,49,LocalAttribs,0
e8,8,48,LocalAttribs,20
e8,10,47,LocalAttribs,20
10,f0,47,LocalAttribs,40
10,f8,48,LocalAttribs,40
10,0,49,LocalAttribs,40
10,8,48,LocalAttribs,60
10,10,47,LocalAttribs,60
18,f0,44,LocalAttribs,40
18,f8,45,LocalAttribs,40
18,0,46,LocalAttribs,40
18,8,45,LocalAttribs,60
18,10,44,LocalAttribs,60
