X,Y,Tile Offset,Attribute Mixing,Attributes
f0,f0,44,LocalAttribs,0
f0,f8,45,LocalAttribs,0
f0,0,46,LocalAttribs,0
f0,8,45,LocalAttribs,20
f0,10,44,LocalAttribs,20
f8,f0,47,LocalAttribs,0
f8,f8,48,LocalAttribs,0
f8,0,49,LocalAttribs,0
f8,8,48,LocalAttribs,20
f8,10,47,LocalAttribs,20
0,f0,47,LocalAttribs,40
0,f8,48,LocalAttribs,40
0,0,49,LocalAttribs,40
0,8,48,LocalAttribs,60
0,10,47,LocalAttribs,60
8,f0,44,LocalAttribs,40
8,f8,45,LocalAttribs,40
8,0,46,LocalAttribs,40
8,8,45,LocalAttribs,60
8,10,44,LocalAttribs,60
