Y,X,Tile Offset,Attribute Mixing,Attributes
e8,f8,4c,LocalAttribs,1
e8,0,4c,LocalAttribs,21
f0,f0,49,LocalAttribs,1
f0,f8,4d,LocalAttribs,1
f0,0,4d,LocalAttribs,21
f0,8,49,LocalAttribs,21
f8,e8,4e,LocalAttribs,1
f8,f0,4f,LocalAttribs,1
f8,8,4f,LocalAttribs,21
f8,10,4e,LocalAttribs,21
0,e8,4e,LocalAttribs,41
0,f0,4f,LocalAttribs,41
0,8,4f,LocalAttribs,61
0,10,4e,LocalAttribs,61
8,f0,49,LocalAttribs,41
8,f8,4d,LocalAttribs,41
8,0,4d,LocalAttribs,61
8,8,49,LocalAttribs,61
10,f8,4c,LocalAttribs,41
10,0,4c,LocalAttribs,61
