Y,X,Tile Offset,Attribute Mixing,Attributes
e8,e8,40,LocalAttribs,0
e8,f0,41,LocalAttribs,0
e8,0,40,LocalAttribs,0
e8,8,41,LocalAttribs,0
f0,e8,42,LocalAttribs,0
f0,f0,43,LocalAttribs,0
f0,0,42,LocalAttribs,0
f0,8,43,LocalAttribs,0
f8,e8,46,LocalAttribs,0
f8,f0,43,LocalAttribs,0
f8,0,46,LocalAttribs,0
f8,8,43,LocalAttribs,0
0,e8,49,LocalAttribs,0
0,f0,4a,LocalAttribs,0
0,0,49,LocalAttribs,0
0,8,4a,LocalAttribs,0
8,e8,4b,LocalAttribs,0
8,f0,4a,LocalAttribs,0
8,0,4b,LocalAttribs,0
8,8,4a,LocalAttribs,0
10,e8,4c,LocalAttribs,0
10,f0,4d,LocalAttribs,0
10,0,4c,LocalAttribs,0
10,8,4d,LocalAttribs,0
