X,Y,Tile Offset,Attribute Mixing,Attributes
e0,e8,44,LocalAttribs,40
e0,f0,45,LocalAttribs,40
e0,f8,44,LocalAttribs,40
e0,0,45,LocalAttribs,40
e0,8,44,LocalAttribs,40
e0,10,45,LocalAttribs,40
e8,e8,44,LocalAttribs,40
e8,f0,45,LocalAttribs,40
e8,f8,44,LocalAttribs,40
e8,0,45,LocalAttribs,40
e8,8,44,LocalAttribs,40
e8,10,45,LocalAttribs,40
f0,e8,44,LocalAttribs,40
f0,f0,45,LocalAttribs,40
f0,f8,44,LocalAttribs,40
f0,0,45,LocalAttribs,40
f0,8,44,LocalAttribs,40
f0,10,45,LocalAttribs,40
f8,e8,42,LocalAttribs,40
f8,f0,43,LocalAttribs,40
f8,f8,42,LocalAttribs,40
f8,0,43,LocalAttribs,40
f8,8,42,LocalAttribs,40
f8,10,43,LocalAttribs,40
