X,Y,Tile Offset,Attribute Mixing,Attributes
e8,0,42,LocalAttribs,0
e8,8,43,LocalAttribs,0
f0,f0,42,LocalAttribs,0
f0,f8,45,LocalAttribs,0
f0,0,46,LocalAttribs,0
f0,8,47,LocalAttribs,0
f8,f0,47,LocalAttribs,60
f8,f8,48,LocalAttribs,0
f8,0,48,LocalAttribs,60
f8,8,47,LocalAttribs,0
0,f0,47,LocalAttribs,60
0,f8,48,LocalAttribs,0
0,0,48,LocalAttribs,60
0,8,47,LocalAttribs,0
8,f0,47,LocalAttribs,60
8,f8,46,LocalAttribs,60
8,0,45,LocalAttribs,60
8,8,42,LocalAttribs,60
10,f0,43,LocalAttribs,60
10,f8,42,LocalAttribs,60
