Y,X,Tile Offset,Attribute Mixing,Attributes
e0,8,4a,LocalAttribs,20
e0,0,4a,LocalAttribs,20
e0,f8,4b,LocalAttribs,20
e0,f0,4a,LocalAttribs,0
e0,e8,4a,LocalAttribs,0
e8,8,4c,LocalAttribs,20
e8,0,4d,LocalAttribs,20
e8,f8,4e,LocalAttribs,20
e8,f0,4d,LocalAttribs,0
e8,e8,4c,LocalAttribs,0
f0,8,47,LocalAttribs,20
f0,0,48,LocalAttribs,20
f0,f8,49,LocalAttribs,20
f0,f0,48,LocalAttribs,0
f0,e8,47,LocalAttribs,0
8,8,47,LocalAttribs,60
8,0,48,LocalAttribs,60
8,f8,49,LocalAttribs,60
8,f0,48,LocalAttribs,40
8,e8,47,LocalAttribs,40
10,8,4c,LocalAttribs,60
10,0,4d,LocalAttribs,60
10,f8,4e,LocalAttribs,60
10,f0,4d,LocalAttribs,40
10,e8,4c,LocalAttribs,40
18,8,4a,LocalAttribs,60
18,0,4a,LocalAttribs,60
18,f8,4b,LocalAttribs,60
18,f0,4a,LocalAttribs,40
18,e8,4a,LocalAttribs,40
