Y,X,Tile Offset,Attribute Mixing,Attributes
e8,f8,41,LocalAttribs,20
e8,0,40,LocalAttribs,20
e8,10,41,LocalAttribs,20
e8,18,40,LocalAttribs,20
f0,f8,43,LocalAttribs,20
f0,0,42,LocalAttribs,20
f0,10,43,LocalAttribs,20
f0,18,42,LocalAttribs,20
f8,f8,43,LocalAttribs,20
f8,0,46,LocalAttribs,20
f8,10,43,LocalAttribs,20
f8,18,46,LocalAttribs,20
0,f8,4a,LocalAttribs,20
0,0,49,LocalAttribs,20
0,10,4a,LocalAttribs,20
0,18,49,LocalAttribs,20
8,f8,4a,LocalAttribs,20
8,0,4b,LocalAttribs,20
8,10,4a,LocalAttribs,20
8,18,4b,LocalAttribs,20
10,f8,4d,LocalAttribs,20
10,0,4c,LocalAttribs,20
10,10,4d,LocalAttribs,20
10,18,4c,LocalAttribs,20
