Y,X,Tile Offset,Attribute Mixing,Attributes
f8,10,40,LocalAttribs,20
f8,8,41,LocalAttribs,20
f8,0,40,LocalAttribs,20
f8,f8,41,LocalAttribs,20
f8,f0,40,LocalAttribs,20
f8,e8,41,LocalAttribs,20
0,10,44,LocalAttribs,20
0,8,45,LocalAttribs,20
0,0,44,LocalAttribs,20
0,f8,45,LocalAttribs,20
0,f0,44,LocalAttribs,20
0,e8,45,LocalAttribs,20
8,10,44,LocalAttribs,20
8,8,45,LocalAttribs,20
8,0,44,LocalAttribs,20
8,f8,45,LocalAttribs,20
8,f0,44,LocalAttribs,20
8,e8,45,LocalAttribs,20
10,18,49,LocalAttribs,0
10,10,4a,LocalAttribs,20
10,8,4b,LocalAttribs,20
10,0,4a,LocalAttribs,20
10,f8,4b,LocalAttribs,20
10,f0,4a,LocalAttribs,20
10,e8,4b,LocalAttribs,20
10,e0,46,LocalAttribs,0
