Y,X,Tile Offset,Attribute Mixing,Attributes
e8,18,47,LocalAttribs,20
e8,10,48,LocalAttribs,20
e8,e8,48,LocalAttribs,0
e8,e0,47,LocalAttribs,0
f0,18,47,LocalAttribs,20
f0,10,48,LocalAttribs,20
f0,e8,48,LocalAttribs,0
f0,e0,47,LocalAttribs,0
f8,18,47,LocalAttribs,20
f8,10,48,LocalAttribs,20
f8,e8,48,LocalAttribs,0
f8,e0,47,LocalAttribs,0
0,18,47,LocalAttribs,20
0,10,48,LocalAttribs,20
0,e8,48,LocalAttribs,0
0,e0,47,LocalAttribs,0
8,18,47,LocalAttribs,20
8,10,48,LocalAttribs,20
8,e8,48,LocalAttribs,0
8,e0,47,LocalAttribs,0
10,18,47,LocalAttribs,20
10,10,48,LocalAttribs,20
10,e8,48,LocalAttribs,0
10,e0,47,LocalAttribs,0
