Y,X,Tile Offset,Attribute Mixing,Attributes
ec,e8,40,LocalAttribs,17
ec,f0,41,LocalAttribs,17
ec,f8,42,LocalAttribs,17
ec,0,43,LocalAttribs,17
ec,8,44,LocalAttribs,17
ec,10,45,LocalAttribs,17
f4,e8,46,LocalAttribs,17
f4,f0,47,LocalAttribs,17
f4,f8,48,LocalAttribs,17
f4,0,49,LocalAttribs,17
f4,8,4a,LocalAttribs,17
f4,10,4b,LocalAttribs,17
fc,e8,4c,LocalAttribs,17
fc,f0,4d,LocalAttribs,17
fc,f8,4e,LocalAttribs,17
fc,0,4f,LocalAttribs,17
fc,8,50,LocalAttribs,17
fc,10,51,LocalAttribs,17
4,e8,52,LocalAttribs,17
4,f0,53,LocalAttribs,17
4,f8,54,LocalAttribs,17
4,0,55,LocalAttribs,17
4,8,56,LocalAttribs,17
4,10,57,LocalAttribs,17
c,e8,58,LocalAttribs,17
c,f0,59,LocalAttribs,17
c,f8,5a,LocalAttribs,17
c,0,5b,LocalAttribs,17
c,8,5c,LocalAttribs,17
c,10,5d,LocalAttribs,17
