X,Y,Tile Offset,Attribute Mixing,Attributes
d8,f0,1,LocalAttribs,11
d8,f8,2,LocalAttribs,11
d8,0,3,LocalAttribs,11
d8,8,4,LocalAttribs,11
e0,f0,5,LocalAttribs,11
e0,f8,6,LocalAttribs,11
e0,0,7,LocalAttribs,11
e0,8,8,LocalAttribs,11
e8,f0,9,LocalAttribs,11
e8,f8,a,LocalAttribs,11
e8,0,b,LocalAttribs,11
e8,8,c,LocalAttribs,11
e8,10,d,LocalAttribs,11
f0,e8,e,LocalAttribs,14
f0,f0,f,LocalAttribs,14
f0,f8,10,LocalAttribs,14
f0,0,11,LocalAttribs,10
f0,8,12,LocalAttribs,13
f0,10,13,LocalAttribs,14
f8,e8,14,LocalAttribs,14
f8,f0,15,LocalAttribs,14
f8,f8,16,LocalAttribs,14
f8,0,17,LocalAttribs,13
f8,8,18,LocalAttribs,13
f8,10,19,LocalAttribs,14
0,f0,1a,LocalAttribs,14
0,f8,1b,LocalAttribs,13
0,0,1c,LocalAttribs,13
0,8,1d,LocalAttribs,14
0,10,1e,LocalAttribs,14
