Y,X,Tile Offset,Attribute Mixing,Attributes
d8,f0,21,LocalAttribs,11
d8,f8,22,LocalAttribs,11
d8,0,23,LocalAttribs,11
d8,8,24,LocalAttribs,11
e0,f0,25,LocalAttribs,11
e0,f8,26,LocalAttribs,11
e0,0,27,LocalAttribs,11
e0,8,28,LocalAttribs,11
e8,f0,29,LocalAttribs,11
e8,f8,2a,LocalAttribs,11
e8,0,2b,LocalAttribs,11
e8,8,2c,LocalAttribs,11
e8,10,2d,LocalAttribs,11
e8,18,2e,LocalAttribs,10
f0,e8,2f,LocalAttribs,10
f0,f0,30,LocalAttribs,10
f0,f8,31,LocalAttribs,10
f0,0,32,LocalAttribs,10
f0,8,33,LocalAttribs,13
f0,10,34,LocalAttribs,10
f0,18,35,LocalAttribs,12
f8,e8,36,LocalAttribs,14
f8,f0,37,LocalAttribs,14
f8,f8,38,LocalAttribs,14
f8,0,39,LocalAttribs,13
f8,8,3a,LocalAttribs,14
f8,10,3b,LocalAttribs,14
f8,18,3c,LocalAttribs,12
0,e8,3d,LocalAttribs,14
0,f0,3e,LocalAttribs,14
0,f8,3f,LocalAttribs,13
0,0,40,LocalAttribs,13
0,8,41,LocalAttribs,14
0,10,42,LocalAttribs,14
