X,Y,Tile Offset,Attribute Mixing,Attributes
ec,e8,0,ConfigPalette,11
ec,f0,1,ConfigPalette,11
ec,f8,2,ConfigPalette,11
ec,0,3,ConfigPalette,11
ec,8,4,ConfigPalette,11
ec,10,5,ConfigPalette,11
f4,e8,6,ConfigPalette,11
f4,f0,7,ConfigPalette,11
f4,f8,8,ConfigPalette,11
f4,0,9,ConfigPalette,11
f4,8,a,ConfigPalette,11
f4,10,b,ConfigPalette,11
fc,e8,c,ConfigPalette,11
fc,f0,d,ConfigPalette,11
fc,f8,e,ConfigPalette,11
fc,0,f,ConfigPalette,11
fc,8,10,ConfigPalette,11
fc,10,11,ConfigPalette,11
4,e8,12,ConfigPalette,11
4,f0,13,ConfigPalette,11
4,f8,14,ConfigPalette,11
4,0,15,ConfigPalette,11
4,8,16,ConfigPalette,11
4,10,17,ConfigPalette,11
c,e8,18,ConfigPalette,11
c,f0,19,ConfigPalette,11
c,f8,1a,ConfigPalette,11
c,0,1b,ConfigPalette,11
c,8,1c,ConfigPalette,11
c,10,1d,ConfigPalette,11
