#,Japanese,English,Draft version,Denjuu,Notes
1,とうちゃくしたぜ,I've arrived!,,Tsunonasu,Each row is numbered by Denjuu ID.
2,ついたよー,I'm here!,,Kochia,This is the same ordering as other Denjuu species string tables.
3,ついたよー,I'm here!,,Oshe,"Japanese strings are limited to 16 characters, English is 32 characters."
4,...ついた,...Made it.,,Keshi,
5,またせたなっ!,"Made you wait, huh!",,Crypto,"Some lines stay the same after a Denjuu evolves, and some change. "
6,おまたせー,Kept you waiting!,Kept you waiting...!,Monstera,Repeats within each Denjuu line are labelled in the Notes column.
7,おまたせしました!,Thanks for waiting!,,Fungus,
8,またせたカバ,*Hip*! Made you wait!,,Hiougi,
9,ついたプニ,"I'm here, puni!",,Punica,
10,ついたプルン,Made it... *blorp*,,Gumi,
11,はやかっただろ,"Pretty quick, huh?",,Suguri,
12,おまたせコケ,Cluck! Made you wait!,,Ganraikou,
13,けんざん!,I'm on the scene!,,Byakubu,
14,おまたせー,Kept you waiting~,Sorry for the wait! / Kept you waiting...,Telopea,
15,おまたせタコ,"I'm here, octo.",,Mantea,
16,...ついた,...Made it.,,Ixora,
17,とうちゃくしたぜ,I've arrived!,,Myrtus,
18,ついたっクス,"Heheh, I'm here!",,Lychnis,
19,シャカシャカきた,"Snip snip, I'm here!",,Lapeirousia,
20,きたカニよー,Crab coming~,Crab incoming! / Crab coming~,Bubaria,
21,またせたなっ!,"Made you wait, huh!",,Angios,
22,オレにまかせな!,Leave it to me!,,Gymnos,
23,ついたっペ,"I'm here, ope!","I'm here, liri liri!",Liriope,
24,ウキキー,Ook ook eek eek!,Ook ook eek eek! / Ook eek eek!,Waratah,
25,おまたっ!,Finally!,,Sorghum,
26,またせたなっ!,"Made you wait, huh!",,Eryngo,
27,きたホロウ,"I'm here, hoo.",,Noriutsugi,
28,きたもんネ,"I'm here, y'know?",,Pampas,
29,ピューときたぜ,"Pheww, I'm here!",,Rhodanthe,
30,どうもどうも,"Why, hello!",Nice to see you.,Lycoris,
31,ビバっときたぜ,"Viva, I'm here!",I'm herenum!,Viburnum,
32,オレにまかせな!,Leave it to me!,,Funnel,
33,もリのなーかー,I met a bear! ♫,,Vanda,
34,いそいできました,Came as fast as I could!,I came as fast as I could!,Uikyou,
35,よーおまたせ,"Yo, thanks for waiting!",,Obana,
36,よんだかい,You called?,,Firekokko,
37,ついたよー,I'm here!,,Raygoten,Shared with Kochia (002)
38,ついたよー,I'm here!,,Drilarmor,Shared with Oshe (003)
39,...ついた,...Made it.,,Chamelan,Shared with Keshi (004)
40,またせたなっ!,"Made you wait, huh!",,Cryptoarm,Shared with Crypto (005)
41,おまたせー,Kept you waiting~,,Shellstera,Shared with Monstera (006)
42,おまたせしました!,Thanks for waiting!,,Fungeist,Shared with Fungus (007)
43,またせたカバ,*Hip*! Made you wait!,,Balltamus,Shared with Hiougi (008)
44,ついたプニ,"I'm here, puni!",,Burenica,Shared with Punica (009)
45,ついたブルン,Made it... *glorp*,,Geron,
46,つきましたよ!,I have arrived!,,Berzelia,
47,ゲッゲゲゲゲゲ,Geh-heheheheh!,,Nigella,
48,またせたかのー,Have I made you wait?,,Musa,
49,...ついた,...Made it.,,Netaro,
50,さぁきたよ!,Here I am!,,Nejiro,
51,ウネウネきたー,I inched my way here!,,Godetia,
52,おそかった?,Am I too late?,Am I late? / Am I too late?,Curcuma,
53,きてやったぜ,"Hey, I came!","Hey, I came!",Tessen,
54,ついたトリ,Made it! Squawk!,,Heliopsis,
55,ついたクワ,"I'm here, pinch pinch!",,Hagumanoki,
56,とうちゃくしたぜ,I've arrived!,,Gilerth,Shared with Tsunonasu (001)
57,ついたよー,I'm here!,,Raygarth,Shared with Kochia (002)
58,ついたよー,I'm here!,,Armaru,Shared with Oshe (003)
59,...ついた,...Made it.,,Chameraid,Shared with Keshi (004)
60,またせたなっ!,"Made you wait, huh!",,Cryptoride,Shared with Crypto (005)
61,おまたせー,Kept you waiting~,,Wormiterala,Shared with Monstera (006)
62,おまたせしました!,Thanks for waiting!,,Fungblade,Shared with Fungus (007)
63,またせたカバ,*Hip*! Made you wait!,,Bulltamus,Shared with Hiougi (008)
64,ついたプニ,"I'm here, puni!",,Puneedle,Shared with Punica (009)
65,ついたプルン,Made it... *blorp*,,Kerorin,Shared with Gumi (010)
66,はやかっただろ,"Pretty quick, huh?",,Sugulai,Shared with Suguri (011)
67,おまたせコケ,Cluck! Made you wait!,,Cortos,Shared with Ganraikou (012)
