#,Japanese,English,Draft version,German,Draft version (German),Notes
1,ファイア-ガン,Flamethrower,,Flammenwerfer,,Each row is numbered by Denjuu ID.
2,ガン,Gun,,Knarre,,This is the same ordering as other Denjuu species string tables.
3,リボルバ-ガン,Revolver,,Revolver,,Japanese strings are limited to 8 characters.
4,バズ-カ,Bazooka,,Bazooka,,English strings are limited to 16 characters.
5,マシンガン,Machine Gun,,Maschinengewehr,,
6,ミサイル,Missile,,Rakete,,
7,ボム,Bomb,,Bombe,,
8,ガトリングガン,Gatling Gun,,Gatling Gun,,
9,サ-ベル,Sabre,,Säbel,,
10,ドリル,Drill,,Bohrer,,
11,ジェットエンジン,Jet Engine,,Triebwerk,,
12,プロペラエンジン,Prop Engine,,Propeller,,
13,シュリケン,Shuriken,,Wurfstern,,
14,でんち,Battery,,Batterie,,
15,ア-チェリ-,Archery Set,,Pfeil & Bogen,,
16,レンジ,Microwave,,Mikrowelle,,
17,アイロン,Iron,,Bügeleisen,,
18,ミキサ-,Mixer,,Mixer,,
19,でんわ,Phone,,Telefon,,
20,アンテナ,Antenna,,Antenne,,
21,スパナ,Spanner,,Schraubschlüssel,,
22,ノコギリ,Saw,,Säge,,
23,チェ-ンソ-,Chainsaw,,Kettensäge,,
24,ビ-ムガン,Ray Gun,,Laserpistole,,
25,アックス,Axe,,Axt,,
26,ドライバ-,Screwdriver,,Schraubenzieher,,
27,ネジ,Screw,,Schraube,,
28,ゼンマイ,Winder,,Aufziehschlüssel,,
29,ギア,Gear,,Zahnrad,,
30,テレカ,Phone Card,,Telefonkarte,,
31,ランス,Lance,,Lanze,,
32,クレ-ン,Crane,,Kran,,
33,ア-ミ-ナイフ,Army Knife,,Kampfmesser,,
34,カマ,Sickle,,Sichel,,
35,コンピュ-タ,Computer,,Computer,,
36,モバイル,Laptop,,Laptop,,
37,ハンマ-,Hammer,,Hammer,,
38,ちゅうしゃき,Syringe,,Spritze,,
39,カメラ,Camera,,Fotokamera,,
40,ビデオ,Video Camera,,Videokamera,,
41,フライパン,Frying Pan,,Bratpfanne,,
42,えんぴつ,Pencil,,Bleistift,,
43,タイヤ,Tire,,Reifen,,
44,ボンベ,Gas Tank,,Gasflasche,,
45,じゃぐち,Faucet,,Wasserhahn,,
46,バケツ,Bucket,,Eimer,,
47,そうじき,Vacuum,,Staubsauger,,
48,マウス,Mouse,,PC-Maus,,
49,カギ,Key,,Schlüssel,,
50,ゲ-ムマシン,Game Machine,,Spielekonsole,,
51,ぬいぐるみ,Stuffed Toy,,Stofftier,,
52,ボンボン,BomBom,,Bombom-Comic,,
53,キックボ-ド,Kickboard,,Roller,,
54,チタリウム,Titallium,,Titallium,,
55,ルナチウム,Lunatium,,Lunatium,,
56,ガイアモンド,Gaiamond,,Gaiamond,,
57,ラウンドメタル,Round Metal,,Rundmetall,,
58,タイタニュウム,Titanuum,,Titanium,,
59,かいぞうしよう1,Fusion Pass 1,,Fusions-Pass 1,,
60,かいぞうしよう2,Fusion Pass 2,,Fusions-Pass 2,,
61,かいぞうしよう3,Fusion Pass 3,,Fusions-Pass 3,,
62,じっけんしよう1,Lab Pass 1,,Labor-Pass 1,,
63,じっけんしよう2,Lab Pass 2,,Labor-Pass 2,,
64,じっけんしよう3,Lab Pass 3,,Labor-Pass 3,,
65,バイオレント3,Biolent 3,,Biolent 3,,
66,グラップライト9,Grapplite 9,,Grapplite 9,,
67,ギガイア00,Gigaia 00,,Gigaia 00,,
68,アイテム し,No Item,,Kein Item,,
69,,INVALID«0xe0»«0xe0»ASM:«0»«0»«0»,,,,
