#,Japanese,English,Draft version,Denjuu,Notes
1,あれ?もうおわったの?,Huh? It's over already?,,Tsunonasu,Each row is numbered by Denjuu ID.
2,あれ?もうおわったの?,Huh? It's over already?,,Kochia,This is the same ordering as other Denjuu species string tables.
3,あれ?もうおわったの?,Huh? It's over already?,,Oshe,Japanese strings are limited to 16 characters.
4,あれ?もうおわったの?,Huh? It's over already?,,Keshi,English strings are limited to 32 characters.
5,あれ?もうおわったの?,Huh? It's over already?,,Crypto,
6,あれ?もうおわったの?,Huh? It's over already?,,Monstera,These strings are unused.
7,あれ?もうおわったの?,Huh? It's over already?,,Fungus,
8,あれ?もうおわったの?,Huh? It's over already?,,Hiougi,
9,あれ?もうおわったの?,Huh? It's over already?,,Punica,
10,あれ?もうおわったの?,Huh? It's over already?,,Gumi,
11,あれ?もうおわったの?,Huh? It's over already?,,Suguri,
12,あれ?もうおわったの?,Huh? It's over already?,,Ganraikou,
13,あれ?もうおわったの?,Huh? It's over already?,,Byakubu,
14,あれ?もうおわったの?,Huh? It's over already?,,Telopea,
15,あれ?もうおわったの?,Huh? It's over already?,,Mantea,
16,あれ?もうおわったの?,Huh? It's over already?,,Ixora,
17,あれ?もうおわったの?,Huh? It's over already?,,Myrtus,
18,あれ?もうおわったの?,Huh? It's over already?,,Lychnis,
19,あれ?もうおわったの?,Huh? It's over already?,,Lapeirousia,
20,あれ?もうおわったの?,Huh? It's over already?,,Bubaria,
21,あれ?もうおわったの?,Huh? It's over already?,,Angios,
22,あれ?もうおわったの?,Huh? It's over already?,,Gymnos,
23,あれ?もうおわったの?,Huh? It's over already?,,Liriope,
24,あれ?もうおわったの?,Huh? It's over already?,,Waratah,
25,あれ?もうおわったの?,Huh? It's over already?,,Sorghum,
26,あれ?もうおわったの?,Huh? It's over already?,,Eryngo,
27,あれ?もうおわったの?,Huh? It's over already?,,Noriutsugi,
28,あれ?もうおわったの?,Huh? It's over already?,,Pampas,
29,あれ?もうおわったの?,Huh? It's over already?,,Rhodanthe,
30,あれ?もうおわったの?,Huh? It's over already?,,Lycoris,
31,あれ?もうおわったの?,Huh? It's over already?,,Viburnum,
32,あれ?もうおわったの?,Huh? It's over already?,,Funnel,
33,あれ?もうおわったの?,Huh? It's over already?,,Vanda,
34,あれ?もうおわったの?,Huh? It's over already?,,Uikyou,
35,あれ?もうおわったの?,Huh? It's over already?,,Obana,
36,あれ?もうおわったの?,Huh? It's over already?,,Firekokko,
37,あれ?もうおわったの?,Huh? It's over already?,,Raygoten,
38,あれ?もうおわったの?,Huh? It's over already?,,Drilarmor,
39,あれ?もうおわったの?,Huh? It's over already?,,Chamelan,
40,あれ?もうおわったの?,Huh? It's over already?,,Cryptoarm,
41,あれ?もうおわったの?,Huh? It's over already?,,Shellstera,
42,あれ?もうおわったの?,Huh? It's over already?,,Fungeist,
43,あれ?もうおわったの?,Huh? It's over already?,,Balltamus,
44,あれ?もうおわったの?,Huh? It's over already?,,Burenica,
45,あれ?もうおわったの?,Huh? It's over already?,,Geron,
46,あれ?もうおわったの?,Huh? It's over already?,,Berzelia,
47,あれ?もうおわったの?,Huh? It's over already?,,Nigella,
48,あれ?もうおわったの?,Huh? It's over already?,,Musa,
49,あれ?もうおわったの?,Huh? It's over already?,,Netaro,
