Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x114000,"<&0xd4b1>が
とうちゃくした!<*5>",<&0xd658> arrived!<*5>,,<&0xd658> ist zur Stelle!<*5>,,Text for battles and stuff.
0x114002,"たいリょくが
かいふくした!<*5>",Recovered HP!<*5>,,LP wiederhergestellt!<*5>,,"Status: Translated 100%
"
0x114004,"<&0xd460>
『<&0xd4b1>』<*5>","<&0xd6a0>
""<&0xd658>""<*5>",,"<&0xd6a0>
""<&0xd658>""<*5>",,
0x114006,"<&0xd460>の
デンワバンゴウをゲットした!<*5>",Got <&0xd6a0>'s phone number!<*5>,,<&0xd6a0>s Handynummer bekommen!<*5>,,
0x114008,"<&0xd460>
『<&0xd4b1>』<*5>","<&0xd6a0>
""<&0xd658>""<*5>",,"<&0xd6a0>
""<&0xd658>""<*5>",,
0x11400a,"<&0xd460>は
たおれた!<*5>",<&0xd6a0> fell!<*5>,,<&0xd6a0> ist am Boden!<*5>,,
0x11400c,『コイツはかなわないや!』<*5>,"""I'm no match for this guy!""<*5>",,"""Keine Chance... Ich mach die Biege!""<*5>",,
0x11400e,"<&0xd460>は
にげだした!<*5> ",<&0xd6a0> fled!<*5>,,<&0xd6a0> ist geflohen!<*5>,,
0x114010,"<&0xd460>
『みちくさをしている!』<*5>","<&0xd6a0>
""I got distracted!""<*5>",,"<&0xd6a0>
""Kommt was dazwischen!""<*5>",,
0x114012,"<&0xc9e1>の
デンワバンゴウをうしなった!<*5>",Lost <&0xcca3>'s phone number!<*5>,,<&0xcca3>s Handynummer verloren!<*5>,,
0x114014,"けっかいがはられていて
でんまリゅくが
はつどうできない!!<*5>",Can't use Denma power due to the force field!!<*5>,,Kraftfeld verhindert Einsatz von Denma-Power!<*5>,,
0x114016,"<&0xd4b1>が
あらわれた!<*5>",<&0xd658> appeared!<*5>,,<&0xd658> taucht auf!<*5>,,
0x114018,でんまリょく じゅうでんかいし!<*5>,Charging Denma power!<*5>,,Denma-Power wird aufgeladen!<*5>,,
0x11401a,"<&0xd6a0>のこうげき!
<&0xd4b1>!<*4>","<&0xd6a0><6> move!
<&0xd658>!<*4>",,"<&0xd6a0> ist am Zug!
<&0xd658>!<*4>",,
0x11401c,"よぶ デンジュウを
せんたくしてください<*4>",Please select a Denjuu to call.<*4>,,"Wähle ein Denjuu aus, das du anrufen möchtest.<*4>",,
0x11401e,ゲームオーバー<*5>,Game Over<*5>,,Spiel Ende<*5>,,
0x114020,"てきのデンジュウを
やっつけた!<*5>",You defeated the enemy Denjuu!<*5>,,Du hast das gegnerische Denjuu besiegt!<*5>,,
0x114022,にげだした!<*5>,Ran away!<*5>,,"""Hauen wir ab!""<*5>",,
0x114024,"されど
にげられなかった!<*5>",...But couldn't escape!<*5>,,...Flucht gescheitert!<*5>,,
0x114026,"たたかいに
やぶれた!<*5>",You lost the battle!<*5>,,Du hast den Kampf verloren!<*5>,,
0x114028,"<&0xd448>ポイントの
ダメージ!<*4>",<&0xd448> points of damage!<*4>,,<&0xd448> Schadenspunkte!<*4>,,
0x11402a,てきをたおした!<*5>,Defeated the enemy!<*5>,,Herausforderer besiegt!<*5>,,
0x11402c,みかたのこうげき!<*5>,Ally's attack!<*5>,,Mitstreiter greift an!<*5>,,
0x11402e,"<&0xd460>は
<&0xd448>ポイントの
けいけんちをえた!<*5>",<&0xd6a0> got <&0xd448> experience points!<*5>,<&0xd6a0> got <&0xd448> experience points!<*5>,<&0xd6a0> erhält <&0xd448> Erfahrungspunkte!<*5>,,
0x114030,"<&0xd460>は
レベルアップした!<*5>",<&0xd6a0> leveled up!<*5>,,<&0xd6a0> ist im Level aufgestiegen!<*5>,,
0x114032,"<&0xd460>は
しんかした!<*5>",<&0xd6a0> has evolved!<*5>,,<&0xd6a0> hat sich weiterentwickelt!<*5>,,
0x114034,"<&0xd460>に
なった!<*5>",It evolved into <&0xd6a0>!<*5>,,Es hat sich zu <&0xd6a0> entwickelt!<*5>,,
0x114036,こうげきは はずれた!<*4>,Attack missed!<*4>,,Angriff verfehlt!<*4>,,
0x114038,"どのデンジュウを
こうげきしますか?<*5>",<S0>Which Denjuu will you attack?<*5>,,<S0>Welches Denjuu wirst du angreifen?<*5>,,
0x11403a,"<&0xd460>のこうげき!
<&0xd4b1>!<*4>","<&0xd6a0><6> move!
<&0xd658>!<*4>",,"<&0xd6a0> ist am Zug!
<&0xd658>!<*4>",,
0x11403c,"<S0>これでいいですか?
   はい    いいえ<*4>","<S0>Are you sure?
   Yes   No <*4>",,"<S0>Bist du sicher?
   Ja   Nein <*4>",,
0x11403e,"<&0xd460>は
ゆうことをきかない!<*5>",<&0xd6a0> is ignoring orders!<*5>,,<&0xd6a0> ignoriert deine Befehle!<*5>,,
0x114040,"<&0xd460>は
かってにこうげきした!<*4>",<&0xd6a0> attacked on its own!<*4>,,<&0xd6a0> greift von selbst an!<*4>,,
0x114042,"バリアがでんまリゅくを
はじきとばした!!<*5>",The barrier blocked the Denma power!<*5>,,Die Barriere verhindert Denma-Power!<*5>,,
0x114044,<ALIAS ROW 0x21>,"The barrier
blocked the
Denma power!<*5>",,"Die Barriere
verhindert
Denma-Power!<*5>",,
0x114046,いけ! <&0xd4b1>!<*5>,Go! <&0xd658>!<*5>,,Auf geht's! <&0xd658>!<*5>,,
0x114048,にげられなかった!<*5>,Couldn't run away!<*5>,,Flucht nicht möglich!<*5>,,
0x11404a,"どのデンジュウの
ステータスをみますか?<*5>",Which Denjuu's status will you check?<*5>,,Von welchem Denjuu den Status überprüfen?<*5>,,
0x11404c,"<S0> たたかう    にげる
 ステータス      <*4>","<S0> Fight<0><0><0><0><0>Flee
 Status<*4>",,"<S0> Kampf<0><0><0><0><0>Flucht
 Status<*4>",,
0x11404e,"<&0xd460>の
すばやさがアップした!<*5>",<&0xd6a0>'s speed went up!<*5>,,<&0xd6a0>s Tempo ist gestiegen!<*5>,,
