Pointer,Japanese,English,Notes
#######,#001,,
0x130000,"やあ ひさしぶリだね
デンジュウクイズやる?
 やる やらない<*A>","Hey, long time no see!
Wanna try a Denjuu Quiz?
<0>Okay<0>No<*A>",Questions 001 to 037 (partial).
0x130002,"デンジュウのシンカは
なんとおリある?
 3とおリ 4とおリ<*A>","How many ways are there to evolve a Denjuu?
<0>3 ways<0>4 ways<*A>","Status: Translated 99%
Missing one string.
"
0x130004,"クイズきらいなの?
 うん そんなことないよ<*A>","Do you hate quizzes?
<0>Yes<0>I don't!<*A>",
0x130006,"さすが <&name>だね
せいかいだよ!<*2>","Well done, <&name>!
That's correct!<*2>","Remember to add appropriate tags
<*2><0><*A> etc."
0x130008,"おいおいどうしたんだよ
まちがってるよ!<*2>","Aww, come on!
You got it wrong!<*2>","// means ""finish/correct later"""
0x13000a,"もしかしてアタマつかうの
きらいなのか?<*2>",Is it because you hate using your brain??<*2>,
0x13000c,"じゃ こんどにするね
バイバーイ<*2>","Then you can try the next one.
Bye-bye~<*2>",
#######,#'002,,
0x13000e,"ゲンキか!
デンジュウクイズやる?
 やる やらない<*A>","What's up?!
Wanna try a Denjuu Quiz?
<0>Sure<0>No thanks<*A>",(Questions 001-024 are Denjuu Quizzes)
0x130010,"テレファングは2タイプ!
パワーともう1つは?
 ハイパー スピード<*A>","There are 2 versions of Telefang!
Power, and what else? 
<0>Hyper<0>Speed<*A>",
0x130012,"もしかしていまいそがしいの?
 まあね そうじゃないけど<*A>","Oh, are you busy right now?
<0>Kind of<0>Well, not really<*A>",
0x130014,"おしいけど ちがうんだな!
またチャレンジしてよ<*2>","That sounds cool, but sadly, it's wrong! 
Better luck next time!<*2>",
0x130016,"かんたんだったかな
みんなしってるよね!<*2>","I wonder if that was a bit too easy. 
Everyone knows that!<*2>",
0x130018,"ごめんね!
わるいことしちゃったね<*2>","Sorry!!
I didn't mean to interrupt!<*2>",
0x13001a,"それならいいじゃん
ケチだな!<*2>","Then what's the problem?
Jerk!<*2>",
#######,#003,,
0x13001c,"もしかしてひましてる?
デンジュウクイズやらない?
 やる やらない<*A>","Are you bored?
How about a Denjuu Quiz?
<0>Sure<0>Nah<*A>",
0x13001e,"デンジュウつかいのことを
なんていう?
 Tファンガー Bファンガー<*A>","What do you call a Denjuu user?
<0>T-Fanger<0>B-Fanger<*A>",
0x130020,"やらないってことは
オレのことがきらいなのか?
 そんなことない じつは..<*A>","You don't want to?
Is it because you hate me??
<0>Of course not<0>Well...<*A>",
0x130022,"そのとおリ!
だいせいかいだよ!<*2>","Exactly!
That's correct!<*2>",
0x130024,"えーうそー
しんじられなーい!<*2>","Whaaat?
You've gotta be kidding me!<*2>",
