Pointer,Japanese
0x144000,そんなことナイとおもうんだけど«0xe2»なぁ やっぱムリかなぁ«*2»
0x144002,じゃあやめるよ!!«*2»
0x144004,オレのケイタイ ピンクいろに«0xe2»かえたんだぜ!!«0xe2» かわいいね えぇ-ピンク?«*a»
0x144006,だろ?だろ?やっぱリ いまは«0xe2»ピンクだよなぁ«0xe2» チョ-ほしい そうかなぁ«*a»
0x144008,«&0xc92c»ピンクはキライ? キライだね キミにはにあうよ«*a»
0x14400a,ほしい?でもあげな-い!«*2»
0x14400c,いまのハヤリはピンクだろ!!«*2»
0x14400e,なにぃ-!ピンクはいいぞ!«*2»
0x144010,そう?にあう?エヘヘヘヘ«0xe2»アリガト«*2»
0x144012,トロンコむらにチョウロウが«0xe2»いたよねぇ??«0xe2» いたよ いたっけ?«*a»
0x144014,なんてなまえだったっけ?«0xe2» ムサだよ モサでしょ«*a»
0x144016,いたじゃん!わすれたの?«0xe2» しらないよ あぁいたね«*a»
0x144018,そうそう おもいだした«0xe2»サンキュ-!!«*2»
0x14401a,アレ?そうだったっけ?むむぅ?«*2»
0x14401c,しらないって «&0xc92c»«0xe2»あったんじゃないの?«*2»
0x14401e,おもいだした?でも なまえは«0xe2»おぼえてないんだねぇ«*2»
0x144020,チョウロウのいえにいる«0xe2»おとこのこはキミのトモダチ?«0xe2» そうだよ しリあい«*a»
0x144022,なかよしなの?«0xe2» シンユウさ! まあね«*a»
0x144024,なかよしじゃないの?«0xe2» ベつに フツウだよ«*a»
0x144026,ヘえいいなぁ オレたちも«0xe2»シンユウになれるといいなぁ«*2»
0x144028,オレのほうがなかよしだよな?«*2»
0x14402a,じゃあなんでいっしょにいるの?«*2»
0x14402c,ふ-ん あっそ«*2»
0x14402e,このまえ«&0xc92c»みたよ!ゲンキそうだったねぇ«0xe2» よんでよ! ゲンキじゃない«*a»
0x144030,こえかけたよ!そっちがムシ«0xe2»したんじゃないか!«0xe2» ゴメンゴメン きづかなかった«*a»
