Pointer,Japanese,English
 #######, colspan=2 | '''147 (partial)                                                      '''
0x160000,"オニギリだぁ!!でも てが
ベタベタでうまくできないよぉ
 はぁ? てにミズつけるんだ<*A>",/0x160000/<*A>
0x160002,エヘヘ じつはそうなんだ<*2>,/0x160002/<*2>
0x160004,そうさ!これでオレもモテモテさ<*2>,/0x160004/<*2>
0x160006,オマエ!オニギリばかにすんな!<*2>,/0x160006/<*2>
0x160008,そっか サンキュ-!!<*2>,/0x160008/<*2>
 #######, colspan=2 | '''148                                                      '''
0x16000a,"チョコってあまくてウマイな
 うん キライだから<*A>",/0x16000a/<*A>
0x16000c,"いくらでもたベちゃうよ!!
 ムシバになるぞ そんなに?<*A>",/0x16000c/<*A>
0x16000e,"なんでだ?あんなにウマイのに!
 マズイよ! わかんない<*A>",/0x16000e/<*A>
0x160010,"ダイジョウブ!ちゃんとハミガキ
してるもんね!!<*2>",/0x160010/<*2>
0x160012,うん!ゴハンのオカズでもいいよ<*2>,/0x160012/<*2>
0x160014,オマエにはそうかんじるんだな<*2>,/0x160014/<*2>
0x160016,オレにはオマエがわかんない<*2>,/0x160016/<*2>
 #######, colspan=2 | '''149                                                      '''
0x160018,"ケイタイストラップがほしい!
なんかカワイイのもってない?
 ないなぁ じぶんでかえば?<*A>",/0x160018/<*A>
0x16001a,ないのかじゃあいいや バイバイ<*2>,/0x16001a/<*2>
0x16001c,イジワル!もういい!<*2>,/0x16001c/<*2>
 #######, colspan=2 | '''150                                                      '''
0x16001e,"みんながオレのこと『わがまま』
ってゆうんだよ-!!
 だろうね そんなことないよ<*A>",/0x16001e/<*A>
0x160020,"オマエまでそんなことゆうのか?
 ホントのことじゃん うそ!<*A>",/0x160020/<*A>
0x160022,"やさしいなぁ カンゲキだよ
 ゲンキだせ! きにすんな!<*A>",/0x160022/<*A>
0x160024,"なんだよ!オレなんかよリも
チョ-ワガママなやついるんだぜ<*2>",/0x160024/<*2>
0x160026,びっくリした-!おどかすなよ!<*2>,/0x160026/<*2>
0x160028,うん ゲンキがでたよ!<*2>,/0x160028/<*2>
0x16002a,"もうほかのヤツのゆうことは
きにしないようにするよ!!<*2>",/0x16002a/<*2>
 #######, colspan=2 | '''151                                                      '''
0x16002c,"あぁ-つかれちゃった オネガイ
おぶってよ
 いまどこだよ やなこった<*A>",/0x16002c/<*A>
0x16002e,"オマエのウシロだよぉ!!
 ぎゃぁ-! なにいってんの?<*A>",/0x16002e/<*A>
0x160030,ちぇ- <&name>のケチ! なんだと! いいもん<*A>,/0x160030/<*A>
0x160032,"アハハ うそだよ-!オマエ
オクビョウだな みんなにはなそ<*2>",/0x160032/<*2>
0x160034,なんだ ひっかからなかったか<*2>,/0x160034/<*2>
0x160036,もうたのまないよ-だ!!<*2>,/0x160036/<*2>
0x160038,ケチ ケチ ベ-だ<*2>,/0x160038/<*2>
 #######, colspan=2 | '''152                                                      '''
