Pointer,Japanese,English,Draft version,Formatted?,Notes
0x15c000,"<D1>なぁなぁしってるか?
ツノナスに『でんち』を
くっつけると いいこと
あるんだぜ!<*2>","<D1>Yo, have you heard?
If you put a <bold>battery<normal>
in a Tsunonasu, something
good happens!<*2>","Yo, have you heard?
If you put a <bold>battery<normal>
in a Tsunonasu, something good happens!",1,
0x15c002,"<D2>もしもし?
あのねー コキアに
『アンテナ』をくっつけると
ちょこっと つよくなるんだぜ<*2>","<D2>Hello?
I just wanted to tell you...
If you put an <bold>antenna<normal>
on a Kochia, it gets
a little stronger.<*2>","Hello?
I just wanted to tell you...
If you put an <bold>antenna<normal>
on a Kochia, it gets
a little stronger.",1,
0x15c004,"<D3>ねぇねぇ
これきいたことある?
オーシェっていうデンジュウに
『クレーン』をくっつけて
あげるとつよくなるんだってー
<*2>","<D3>Hey, did you know? I heard
if you fuse an Oshe with a
<bold>crane<normal>, it'll grow stronger.<*2>","Hey, did you know? I heard if you fuse an Oshe with a <bold>crane<normal>, it'll grow stronger.",1,
0x15c006,"<D4>ケシってさー
『レンジ』をくっつけると
なんだか つよくなるんだよね
よわっちいカンジがするんだけどそんなこと いったら
おこられるかな?<*2>","<D4>You know Keshi? If you
give one a <bold>microwave<normal>,
it'll grow a bit. Seems
pretty wimpy to me, but...
maybe they'd get mad if they
heard me say that.<*2>","You know Keshi? If you
give one a <bold>microwave<normal>, it'll grow a bit. Seems
pretty wimpy to me, but... maybe they'd get mad if they heard me say that.",1,
0x15c008,"<D5>クリプトって『ガン』が
すきなんだよ
くっつけたら すごいことに
なるぜ!<*2>","<D5>Crypto, you know the one,
likes <bold>guns<normal>.
Put 'em together and
something cool will happen!<*2>","<D5>Crypto, you know the one, likes <bold>guns<normal>.
Put 'em together and something cool will happen!<*2>",1,
0x15c00a,"<D6>ヘっヘー いいこときいたよ
キミにも おしえてあげる
モンステラって
『リボルバーガン』が
おこのみらしいよ
かいぞうで くっつけたら
いいことあるかもね
<*2>","<D6>Heh heh, I heard something
very interesting!
Alright, I'll tell you.
Monstera is a fan of
<bold>revolvers<normal>. Putting them
together in augmentation
might be a good idea!<*2>","<D6>Heh heh, I heard something very interesting!
Alright, I'll tell you.
Monstera is a fan of <bold>revolvers<normal>. Putting them together in augmentation might be a good idea!<*2>",1,
0x15c00c,"<D7>ファンガスに『アンテナ』って
なんかキーワードらしいよ
どういうことなんだろうね?
<*2>","<D7><bold>""Antenna""<normal> seems to
be sort of a keyword
for Fungus. What do you
make of that, hm?<*2>","<D7><bold>""Antenna""<normal> seems to
be sort of a keyword
for Fungus. What do you make of that, hm?<*2>",1,
0x15c00e,"<D8>もしもーし
<&name>??
キミのトモダチに ヒオウギって
いるかな?
かれには『スパナ』がいいカンジ
らしいよ<*2>","<D8>Hey, <&name>? Are you
friends with a Hiougi?
I heard they're into
<bold>spanners<normal>.<*2>","<D8>Hey, <&name>? Are you friends with a Hiougi?
I heard they're into <bold>spanners<normal>.<*2>",1,
0x15c010,"<D9>ねーねー
『バケツ』はプニカって
なぞのことばだよね
<*2>","<D9>Hey... The word <bold>""bucket""<normal>
means something special to
Punica, just so you know.<*2>","Hey... The word <bold>""bucket""<normal> means something special to Punica, just so you know.",1,
0x15c012,"<D10>やぁ <&name>
ヒミツの じょうほうを
ゲットしたよ
グミには『ビデオ』が
いけてるらしいよ
<*2>","<D10>Yo, <&name>! I got my
hands on some rare info.
Get this: Gumi gets along well
with <bold>video cameras<normal>.<*2>","Yo, <&name>! I got my hands on some rare info. Get this: Gumi gets along well with <bold>video cameras<normal>.",1,
0x15c014,"<D11>おーう <&name>
ゲンキにしてるか?
あのなー スグリについての
ことを トモダチから
きいたんだー
あいつらって『マウス』が
すきらしいよ
やっぱ ネコににてるからかな?<*2>","<D11>What's up, <&name>!
How are ya?
A friend told me something
about Suguri...
Apparently, they like
<bold>computer mice<normal>.
I guess they're kinda like
cats!<*2>","What's up, <&name>! How are ya?
A friend told me something about Suguri...
Apparently, they like <bold>computer mice<normal>.
I guess they're kinda like cats!",1,
0x15c016,"<D12>ガンライコウって
『フライパン』をくっつけて
あげると けいけんちが
あがるんだって
なんとなく そんなふんいき
するよねー<*2>","<D12>If you give a Ganraikou
a <bold>frying pan<normal>,
I hear it'll gain experience.
It sorta makes sense
when you look at it, right?<*2>","<D12>If you give a Ganraikou
a <bold>frying pan<normal>,
I hear it'll gain experience.
It sorta makes sense when you look at it, right?<*2>",1,
0x15c018,"<D13>ビャクブってトモダチにいるー?
いるんだったら
『ノコギリ』をくっつけてごらん
でも ビャクブって
ノコギリよリもいたそうな
キバをもってるんだよねー<*2>","<D13>Are you friends with a
Byakubu?
If you are, try fitting it
with a <bold>saw<normal>.
I feel like you'd be hurt
worse by a Byakubu
than by a saw, though.
Those fangs look so sharp!<*2>","<D13>Are you friends with a Byakubu?
If you are, try fitting it with a <bold>saw<normal>.
I feel like you'd be hurt worse by a Byakubu
than by a saw, though.
Those fangs look so sharp!<*2>",1,
0x15c01a,"<D14>タマゴをせなかにしょった
デンジュウのテロペアって
いるじゃない
あのデンジュウって『ギア』を
つけると ちょっとだけつよく
なるんだってさ<*2>","<D14>There's a Denjuu with eggs
on its back called Telopea,
right? I heard putting a
<bold>gear<normal> in it would make it
an itty bit stronger!<*2>","<D14>There's a Denjuu with eggs on its back called Telopea, right? I heard putting a <bold>gear<normal> in it would make it
an itty bit stronger!<*2>",1,
0x15c01c,"<D15>ねー<&name>
マンテアのデンワバンゴウを
もってる??
もってるんだったら
『アーチェリー』をつけると
いいらしいよ
ためしてみたらどう??
<*2>","<D15>Hey, <&name>... Do you
have a Mantea's number?
If you do, you should
try augmenting it with
a <bold>bow and arrow<normal>. I hear
they go well together!<*2>","<D15>Hey, <&name>... Do you have a Mantea's number? If you do, you should
try augmenting it with
a <bold>bow and arrow<normal>. I hear they go well together!<*2>",1,
0x15c01e,"<D16><&name>の
トモダチのなかに イクソラって
デンジュウはいるのかな?
そのデンジュウ『アイロン』を
つけると つよくなるらしいよ
ホントかウソか しらないけどさ<*2>","<D16>Are you friends with an
Ixora by any chance,
<&name>? I heard it'll
grow stronger if you
slap an <bold>iron<normal> on it.
Dunno if it's true, though.<*2>","<D16>Are you friends with an Ixora by any chance, <&name>? I heard it'll grow stronger if you
slap an <bold>iron<normal> on it.
Dunno if it's true, though.<*2>",1,
0x15c020,"<D17>ミルツスがさー
『プロペラエンジン』を
つけたがってるって はなしを
きいたんだよー
すごいモノ ほしがるよねー
もってるんだったら
くっつけてあげなよー
<*2>","<D17>I heard through the
grapevine that Myrtus
wants to have a <bold>propeller
engine<normal> installed.
Tall order, right? But hey,
if you get the chance,
try an augmentation!<*2>","<D17>I heard through the grapevine that Myrtus wants to have a <bold>propeller engine<normal> installed.
Tall order, right? But hey,
if you get the chance,
try an augmentation!<*2>",1,
0x15c022,"<D18>リクニスって
『ドリル』だいすきデンジュウ
らしいよ
なんで すきなのかは だれも
しらないんだけどさー
<*2>","<D18>You know Lychnis?
I hear it's into <bold>drills<normal>!
Why it likes 'em is anyone's
guess, though...<*2>","<D18>You know Lychnis?
I hear it's into <bold>drills<normal>!
Why it likes 'em is anyone's guess, though...<*2>",1,
0x15c024,"<D19><&name>ってさ
ラペロイジアってデンジュウを
みたことある??
そのデンジュウ『ミキサー』って
いう アイテムがいいんだって
そのデンジュウから
デンワバンゴウを もらうことが
あったら つけてみなよー<*2>","<D19>So, <&name>, have you
ever seen a Lapeirousia?
They like <bold>mixers<normal>, I hear.
If you get one's number,
try putting a <bold>mixer<normal> on it!<*2>","<D19>So, <&name>, have you ever seen a Lapeirousia? They like <bold>mixers<normal>, I hear.
If you get one's number, try putting a <bold>mixer<normal> on it!<*2>",1,
