Pointer,Japanese,English,Draft version,Formatted?,Notes
#######,Tronco,,,,
0x158000,"おっす <&name>
オレだけど...
オマエ ネリカラって ヤツに
あった?
ひろばで えんぜつしてた
ヤツだけどさー いったい
なにかんがえてるのか
ぜんぜんわかんないよ<*2>","Hey <&name>, it's me...
Have you met that Nerikara guy?
He did a speech in the plaza earlier, but I have no clue what he was talking about!<*2>",,0,"Random calls about current story events.
There are 10 for each area. 

FYI, you will always receive them in the order seen here (useful for testing)."
0x158002,"もしもし
オマエ カレーってたベたこと
あるか?
ネリカラってヤツが
『おいしいカレー』っていって
いたんだけど オレたベたこと
ないから わかんないんだ
こんど たベさせてくれよなー<*2>","Hello? Hey, have you had curry?
That Nerikara guy kept talking about ""delicious curry"", but I've never had it... Maybe you could bring me some next time?<*2>",,0,"Status: Translated 20%
"
0x158004,"おーい もしもしー
『カクザとう』とかいうヤツが
トロンコむらの すいげんで
なにかやってるぞー
なにやってるか みてきたほうが
いいんじゃないか?<*2>","Hey, what's up?
Those ""Kakuza Party"" guys are doing something at the Tronco Village spring...
Don't you think we should check it out?<*2>",,0,
0x158006,"<D50>なぁ <&name>
ネジロって ほんとに
あわてもの なんだぜ!
でも テレファングは ほんとに
つよいんだ
きをつけたほうが いいぞ
トモダチになると
たのもしいんだけどね<*2>","<D50>Hey <&name>.
Nejiro is really hot-tempered!
He's really good at Telefang though, so you'd better watch out.
It would be cool to be friends with him though...<*2>","<D50>Hey <&name>.
Nejiro is really hot-tempered!
He's really good at Telefang though, so you'd better watch out.
I bet being his friend would be a fun time.<*2>",0,
0x158008,"<D50>ネジロはネタロを まもる
ために なにかを
かくしてるらしいよ!
なにをかくしてるかは
よく しらないんだけどね
<*2>","<D50>Nejiro must be hiding something in order to protect Netaro!
I don't really know what it could be, though.<*2>",,0,
0x15800a,"<D50>ネジロは テレファングの
ときに そらに
とびあがるんだ
そのあいだは こうげきは
あたらないからね
なにか たいさくを かんがえて
いったほうが いいよ
<*2>","<D50>When Nejiro Telefangs, he flies up into the sky. 
When that happens, our attacks won't be able to hit him, so maybe we should think up some kind of counter-measure!<*2>",,0,
0x15800c,"<D49>ネタロってねー ほんとうに
のんびリしてるんだー
ミズはこびのしごとを
しながら ねちゃうときも
あるんだよー
<*2>","<D49>Netaro is reeeally laid-back! 
He's even fallen asleep on his way to the village before!<*2>",,0,
0x15800e,"<D49>ネタロって いっかいねちゃうと
ほんとうに おきないんだ
だから ネジロがいっつも
みはってるんだけどねー<*2>","<D49>Once Netaro falls asleep, there's nothing you can do to wake him up. 
That's why Nejiro is always keeping watch for him.<*2>",,0,
0x158010,"<D48>ムサさまって あたまは
よさそうだけど テレファング
したらどうなんだろう???
それいぜんに ムサさまの
デンワバンゴウを おしえて
もらえないからなー<*2>","<D48>Musa is really smart, but I wonder how he would do at Telefang??
I hear he's never told anyone his phone number before...<*2>",,0,
0x158012,"<D48>ムサさまは
デンジュウカイを まとめる
4ちょうろうの ひとリなんだ
ボクは ほかのちょうろうに
あったことは ないんだけどさ
<*2>","<D48>Musa is one of the 4 elders of the Denjuu World. 
I've never met any of the others though...<*2>",,0,
#######,Krinon,,,,
0x158014,"『カクザとう』って
デンジュウカイの 
だいとうリょうになって
なにをしてくれるんだろう?
おいしいカレーって みたことも
ないモノを いわれてもなー
わかんないよー
<*2>","I wonder what the Kakuza Party is actually going to do if they win their election?
They just keep talking about stuff like ""curry"" that I've never heard about!
I don't get it!<*2>",,0,
0x158016,"オレがおもうには
アンテナのきのカギを
かくしたのは『カクザとう』
のヤツら なんじゃないかな!
あいつらなら やリそうな
きがするんだよ!<*2>","I bet it was the Kakuza Party who stole the key to the Antenna Tree!
I dunno, they just seem like the sort of guys who would do it! <*2>",,0,
0x158018,"オレさー『カクザとう』
って ヤツらに ちょっと
きょうみあるんだー
オレ なにか まちがってる?
まちがってるかな?
<*2>","Y'know, I'm starting to think the Kakuza Party looks pretty cool...
Huh? They're not?
You don't think so...?<*2>",,0,
0x15801a,"ネリカラと タバスコって
なかがいいのかな
わるいのかな
ちょっと きになってたリ
するんだけどなー
<*2>","I wonder how well Nerikara and Tabasco get along together...
I'm kind of curious~<*2>",,0,
0x15801c,"アンテナのきのカギを
とったのって だれなんだろ?
はんにんは デンジュウじゃ
ないようなきがするんだけどな
どうおもう??
<*2>","Who could have stolen the key to the Antenna Tree...?
I get the feeling a Denjuu wouldn't have done it...
What do you think??<*2>",,0,
0x15801e,"『カクザとう』っていうヤツらが
なんだか アルバイトを
いっぱい やとってる
みたいだよ!どうくつのなかは
Tファンガーが おおいかも
しれないから きをつけてね<*2>","It looks like those Kakuza Party guys are hiring a bunch of ""part-timers""!
There might be a lot of T-Fangers inside the cave now, so you'd better be careful!<*2>",,0,
0x158020,"はしのうえにいる デンジュウは
クリノンむらの あたリには
いないデンジュウなんだ!
<&name>
オマエは もうあったのか?
<*2>","That Denjuu standing on the bridge isn't from around Krinon village...
Have you talked to them yet, <&name>?<*2>",,0,
0x158022,"クリノンむらのヤツらって
みんなダスダスいってるだろ!
なんかいいとおもわない?
オレはすきなんだよなー
なんとかダス!とか
そうなんダス!とかいいよなー<*2>","The Denjuu in Krinon village keep saying ""man"" all the time!
Don't you think it's kind of cool? 
I think it's great, like ""That's right, man!"" or ""I dunno, man!"" 
So cool♪<*2>",,0,
0x158024,"きいたぞ <&name>
オマエ デンジュウカイで
トモダチの おんなのこに
あったんだってー?
どういうかんけいなんだよ?
こんど おしえてくれよー<*2>","Hey <&name>, is it true there's a girl who you know in the Denjuu World?
How do you guys know each other?
Tell me about it next time, okay~?<*2>",,0,
0x158026,"ミヨっておんなのこと
トモダチのデンジュウを
オレ しってるんだー
いがいに そのこ やさしい
Tファンガーなんだって!
ふだんは そういうところ
どうなんだろうなー?
こんど きいておいてくれよな<*2>","I've been hearing about that girl named Miyo from her Denjuu friends, and they say she's actually a really nice T-Fanger!
Do you know if she's like that in the Human World, too?
Come on, I'm curious!<*2>",,0,
#######,Iris,,,,
0x158028,"<&name>
オレのトモダチで うみに
すんでる デンジュウが
いるんだけどさ
なんか おこってるんだよ
ちかくにいるんなら
しらベておいてくれよ
<*2>","A lot of my friends are Denjuu that live in the sea... 
They sound really upset about something, so if you're nearby maybe you could check it out?<*2>",,0,
0x15802a,"うえーん
うみにすんでる トモダチに
デンワをしたら いきなリ
きられちゃったよー
なんでなんだよー
<&name>
うみが どうなってるのか
みてきてよー おねがいだよー<*2>","Waaah!
I tried calling one of my Denjuu friends that live in the sea, and they hung up on me!
What's their problem!
<&name>, could you visit the ocean and find out why they're upset?
Pleeease?<*2>",,0,
0x15802c,"うみのデンジュウに
デンワしたら いきなリ
おこられたんだよ
なんだか きげんがわるくて
ニンゲンなんか しんよう
できないんだってー
どういうことなんだ
いったい?<*2>","One of my ocean Denjuu friends got really angry when I called him...
He seemed like he was in a really bad mood, and he kept saying that we can't trust humans...
What's happening over there...?<*2>",,0,
0x15802e,"うみのデンジュウに
きいたんだけど
パームかいに はえてる
アンテナのきが やばいらしいぜ
どういうことなんだろ?
<&name>
ちょっとみてこいよ
オレ それがきになって
ねむれないんだ
たのんだぜ!<*2>","I heard this from an ocean Denjuu, but...
Apparently there's something bad happening to the Antenna Tree in the Palm Sea.
Have you heard anything about it, <&name>?
I'm so worried about it I can't even sleep!<*2>",,0,
0x158030,"うみのデンジュウが
おこってる リゆうって
ひょっとして アンテナのきが
からんでるんじゃないか?
オレも よくわからないんだ
おこってないデンジュウも
いるとおもうんだ
さがしだして きいてみろよ<*2>","I wonder if the reason the ocean Denjuu are upset is related to the Antenna Trees?
I don't really know what's going on, but they can't all be angry at us, can they?<*2>",,0,
0x158032,"うみのデンジュウたちが
パームかいの アンテナのきを
つかえなくしてるんだって!
どういうことなんだろうな
つかえないと
みんながこまるのになー
うみのデンジュウで おこって
いないヤツって いないのか?
さがしてみろよ
<*2>","I heard that there's something keeping the ocean Denjuu from using the Antenna Tree in the Palm Sea!
If that's the case, it's no wonder they're upset.
I wonder if any of them would be willing to talk to us though...?<*2>",,0,
0x158034,"パームかいのどこかに
『うみのしんでん』ってのが
あるんだって?
うみのデンジュウなら
いきかたを しってるのかな?
きいてみたら??<*2>","Have you heard?
Supposedly there's a hidden shrine somewhere in the Palm Sea!
I wonder if the ocean Denjuu would tell us where it is?
I'm curious!<*2>",,0,
0x158036,"<D23>イーリスのトモダチから
きいたんだけど かいがんに
うみのデンジュウの コドモが
いることがあるんだってー
うみのデンジュウって
こわいから なかなかみんな
ちかづかないけど
トモダチにすると いいこと
あるかもな!
<*2>","<D23>One of my friends in Iris said they spotted a baby ocean Denjuu on the beach!
It sounds like everyone's too scared to go near it, though.
Maybe we could be friends with it?<*2>",,0,
0x158038,"オレさー トロンコむらに
うってる『ゲームマシン』が
ほしいんだけど
チルが たリないんだよー
なぁ <&name>
オレのために かってくれよー
おねがいだよー
たのむよー
たのんだよー!
<*2>","Man, I really wish I could buy one of the ""Game Machines"" that they sell in Tronco, but I just can't afford it...
Hey <&name>, think you could go buy one for me?
Please?
Pretty please??
I'm counting on you!<*2>",,0,
0x15803a,"イーリスのむらに なんか
ヘんなヤツがいるんだって
なにしたいんだか
よくわからないんだけど
ヘんなこといってるんだってー
いろんなヤツが いるんだねー
じゃーねー
<*2>","Hey, did you know?
Apparently there's a really weird guy living in Iris.
He keep saying weird stuff and nobody knows what his deal is.
I guess there are all types of people in the world~
Talk to you later!<*2>",,0,
#######,Freesia,,,,
0x15803c,"なぁ いま フリジアで
『Tファンガーたいかい』を
やってるんだって??
でるんだったら オレを
よんでくれよ!
ぜったい かたせてやるから
ぜったいよんでくれよー!
<*2>","So I guess there's a ""T-Fanger Tournament"" in Freesia right now...? Call me over if you join! I'll make sure we win!<*2>",,0,
0x15803e,"なぁ <&name>!
いま フリジアでやってる
『Tファンガーたいかい』に
でるのか?
オマエの ちからじゃ
むリだって
だまって オレをよんでおけば
よゆうで かたせてやるぜ!
だから よんでくれよな
<*2>","Hey, <&name>!
Are you in the ""T-Fanger Tournament"" that's on right now in Freesia? There's no way you're strong enough on your own! Call me over and we'll win big time. I won't take no for an answer!<*2>",,0,
0x158040,"フリジアでやってる
たいかいで なんか
いいしょうひんが
でるんだってなー
もしも ゆうしょうするような
ことがあったら
どんなモノ もらったか
みせてくれよなー<*2>","Apparently the tournament on in Freesia right now has a real good prize... If you happen to win it or something, show me what you get, huh!<*2>","Apparently the tournament on in Freesia right now has a real good prize... If you happen to win it or something, show me what you get, huh!<*2>",0,
0x158042,"フリジアで
『Tファンガーたいかい』っての
やってるみたいだけど
それ かいさいしてる
れんちゅうって なんだか
うさんくさくないか?
いいモノが もらえるんだったら
そんなことは どうでもいいか!
まぁ がんばれよ
<*2>","Have you heard of this ""T-Fanger Tournament"" on in Freesia right now? The gang in charge of that give me kind of shady vibes. Buy hey, a prize is a prize, so I guess that doesn't matter. Good luck, huh?<*2>","Have you heard of this ""T-Fanger Tournament"" on in Freesia right now? The gang in charge of that give me kind of shady vibes. Buy hey, a prize is a prize, so I guess that doesn't matter. Good luck, huh?",0,
0x158044,"このまえさー トロンコむらの
トモダチから ヘんなヤツらの
うわさを きいたんだけど
そのはなしで きいたヤツらと
フリジアのトモダチから
きいた Tファンガーたいかいを
しきってるれんちゅうが
すごく よくにてるんだよなー
で...じっさいのとこ
どうなんだ?
こんどおしえてくれよなー
<*2>","Hey, so, the other day I was talking to a friend from Tronco, and they told me about some shady gang hanging around there... Those guys and the people holding the T-Fanger Tournament in Freesia – don't you think they sound similar? Wonder what the deal is there. Lemme know if you find anything out!<*2>","Hey, so, the other day I was talking to a friend from Tronco, and they told me about some shady gang hanging around there... Those guys and the people holding the T-Fanger Tournament in Freesia – don't you think they sound similar? Wonder what the deal is there. Lemme know if you find anything out!",0,
0x158046,"よう <&name>
いま フリジアにいるんだって?
そのまちは キカイが
いっぱいうってるんだ
オレたち デンジュウを
かいぞうするには もってこいの
ばしょだぜ
ってことで きがむいたら
オレも よんでくれよな!
<*2>","Yo, <&name>! You in Freesia? A bunch of different machines are sold there! If you wanna augment us Denjuu, it's the place to be! Anyway, call me over if you feel like it!<*2>","Yo, <&name>! You in Freesia? A bunch of different machines are sold there! If you wanna augment us Denjuu, it's the place to be! Anyway, call me over if you feel like it!",0,
0x158048,"なぁ <&name>
いま オマエがいる
『フリジア』っていうまちは
キカイが いっぱいうって
いるんだろ?
オレになんかかってくれよ
そうすれば テレファングのとき
もっとがんばるぜ!
かんがえといてくれよな!
<*2>","Hey, <&name>! They sell a lot of machines in Freesia, where you are now, right? Buy me somethin'! If you do, I'll work harder in Telefangs! Think about it!<*2>","Hey, <&name>! They sell a lot of machines in Freesia, where you are now, right? Buy me somethin'! If you do, I'll work harder in Telefangs! Think about it!",0,
0x15804a,"ねーねー
『フリジア』ってとこは
デンジュウカイで イチバン
キカイをおおくうってるところ
なんでしょー
ボクもそこにいってみたいなー
よんでくれよー
おねがいだよー<*2>","Heyyy! Freesia sells the most machines of anywhere in the Denjuu World, right? I'd love to go there sometime... Call me over, pleeease!<*2>","Heyyy! Freesia sells the most machines of anywhere in the Denjuu World, right? I'd love to go there sometime... Call me over, pleeease!",0,
0x15804c,"なぁなぁ <&name>
あたらしいケイタイの
じょうほうを しいれたから
おしえてやるぜ
あたらしいケイタイは
メモリーできる
デンワバンゴウのかずが
ふえるらしいぜ
そしたら もっと トモダチが
ふやせるってことだよなー
ほしいよなー!
<*2>","<&name>! Hey! I got ahold of some juicy cell phone info! Here, I'll tell you. Apparently, newer models can hold more contacts. That means you can make more friends! Really makes you want a new phone, huh?<*2>","<&name>! Hey! I got ahold of some juicy cell phone info! Here, I'll tell you. Apparently, newer models can hold more contacts. That means you can make more friends! Really makes you want a new phone, huh?",0,
