#,Japanese,English,Draft version,German,Notes
1,クリプト,Crypto,,Crypto,This table is unused and not translated.
2,ファンガ,Funga,,Fungi,
3,ネタロ,Netaro,,Netaro,
4,ネジロ,Nejiro,,Nejiro,
5,リリッペ,Liripe,,Liripe,
6,ノイジ-,Noisy,,Rauschi,Except this one. (possibly??)
7,,Dummy7,,Dummy7,
8,,Dummy8,,Dummy8,
9,,Dummy9,,Dummy9,
10,,Dmmy10,,Dmmy10,
11,,Dmmy11,,Dmmy11,
12,,Dmmy12,,Dmmy12,
13,,Dmmy13,,Dmmy13,
14,,Dmmy14,,Dmmy14,
15,,Dmmy15,,Dmmy15,
16,,Dmmy16,,Dmmy16,
17,,Dmmy17,,Dmmy17,
18,,Dmmy18,,Dmmy18,
19,,Dmmy19,,Dmmy19,
20,,Dmmy20,,Dmmy20,
21,ムサ,Musa,,Musa,
22,ヒユ,Hiyu,,Hiyu,
23,ゼア,Zea,,Zea,
24,カヤ,Kaya,,Kaya,
