#,Japanese,English,Draft version,German,Draft version (German),Notes
1,のんびリ,Relaxed,,Entspannt,,"These are more structured in Japanese, which makes it easier to figure out their effects."
2,ちょーのんびリ,Carefree,,Sorglos,Freigeist,Maybe give these a second look?
3,あわてもの,Careless,,Schusselig,Träumer,
4,ちょーあわてもの,Oblivious,,Vergesslich,Schussel,
5,わがまま,Selfish,,Egoistisch,Egoist,
6,ちょーわがまま,Stubborn,,Stur,Sturkopf,
7,おくびょう,Timid,,Scheu,,
8,ちょーおくびょう,Cowardly,,Ängstlich,Angsthase,
9,おこリんぼ,Tense,,Nervös,,
10,ちょーおこリんぼ,Irritable,,Reizbar,,
11,リちぎ,Faithful,,Treu,Streber,
12,ちょーリちぎ,Loyal,,Loyal,Engel,
13,,INVALID,,INVALID,,
