#,Japanese,English,Draft version,German,Draft version (German),Notes
1,ツノナス,Tsunonasu,,Mammosum,Solanum Mammosum,These are unlikely to change at this point.
2,コキア,Kochia,,Kochia,,
3,オ-シェ,Oshe,,Orchie,Orchidee,
4,ケシ,Keshi,,Schmohn,Schlaf + Mohn,
5,クリプト,Crypto,,Crypto,,
6,モンステラ,Monstera,,Monstera,,
7,ファンガス,Fungus,,Fungus,,
8,ヒオウギ,Hiougi,,Leopappo,Leopardenblume + Hippo,
9,プニカ,Punica,,Punica,,
10,グミ,Gumi,,Gumi,,
11,スグリ,Suguri,,Ribisel,,
12,ガンライコウ,Ganraikou,,Dreifuxel,Dreifarbiger Fuchsschwanz + Vogel,
13,ビャクブ,Byakubu,,Bai-Bulf,Bai Bu + Wolf,
14,テロペア,Telopea,,Telopea,,
15,マンテア,Mantea,,Mantea,,
16,イクソラ,Ixora,,Ixora,,
17,ミルツス,Myrtus,,Myrte,,
18,リクニス,Lychnis,,Lychnis,,
19,ラペロイジア,Lapeirousia,,Lapeirusia,,
20,ブバリア,Bulbaria,,Bouvardia,,
21,アンヂオス,Angios,,Angios,,
22,ヂムノス,Gymnos,,Gymnos,,
23,リリオペ,Liriope,,Liriope,,
24,ワラタ,Waratah,,Waratah,,
25,ソルガム,Sorghum,,Sorghum,,
26,エリンゴ,Eryngo,,Eryngo,,
27,ノリウツギ,Noriutsugi,,Uhurispe,Uhu + Rispenhortensie,
28,パンパス,Pampas,,Pampas,,
29,ロ-ダンセ,Rhodanthe,,Rhodanthe,,
30,リコリス,Lycoris,Lycoris,Lycoris,,(Change to Lycoris)
31,ビバ-ナム,Viburnum,,Viburnum,,
32,ファンネル,Funnel,,Funnel,,
33,バンダ,Vanda,,Vanda,,
34,ウイキョウ,Uikyou,,Amphenchel,Amphibie + Fenchel,
35,オバナ,Obana,,Obana,,
36,ファイア-コッコ,Firekokko,,Feuergockl,Feuer + Gockel,
37,レイゴ-テン,Raygoten,,Kokanzia,klingt wie 'Korkenzieher',
38,ドリア-マ,Drilarmor,,Bohrarmor,Bohrer + Armor,
39,カメラ-ン,Chamelan,,Chamelan,,
40,クリプトア-ム,Cryptoarm,,Cryptoarm,,
41,シェルステラ,Shellstera,,Shellstera,,
42,ファンガイスト,Fungeist,,Fungeist,,
43,ボルタマス,Balltamus,,Balltamus,,
44,ブレニカ,Burenica,,Punipella,Punica + Propeller,
45,ゲ-ロン,Geron,,Glibberhutte,Glibber + Jabba der Hutte,
46,バ-ゼリア,Berzelia,,Berzelia,,
47,ニゲラ,Nigella,,Nigella,,
48,ムサ,Musa,,Musa,,
49,ネタロ,Netaro,,Ratzefix,Ratzen + ix,
50,ネジロ,Nejiro,,Flederix,Fledermaus + ix,
51,ゴデチア,Godetia,,Godetia,,
52,クルクマ,Curcuma,,Curcuma,,
53,テッセン,Tessen,,Tessen,,
54,ヘリオプシス,Heliopsis,,Heliopsis,,
55,ハグマノキ,Hagumanoki,,Sumach,,
56,ギルア-ス,Gilerth,,Gilerth,,
57,レイガ-ス,Raygirth,,Kokadrilla,Koka + Drill + a,
58,ア-マル,Armaru,,Armaro,,
59,カメレイド,Chameraid,,Champustel,Chameleon + Pustel,
60,クリプトライド,Cryptoride,,Cryptoraid,,
61,ワ-ミテララ,Wormiterala,,Wormstera,,
62,ファンブレ-ド,Fungblade,,Fungblade,,
63,ブルタマス,Bulltamus,,Bulltamus,,
64,プニ-ドル,Puneedle,,Punidorn,Punica + Dorn,
65,ケロリン,Kerorin,,Glibbigit,Glibber + Igitt,
66,スグライ,Sugulai,,Ribiliger,Ribisel + Liger,
67,コ-トス,Cortos,,Fuxlfeuer,Dreifuxel + Feuer,
68,ガイウルス,Gaiurus,,Grafwolf,Graf + Wolf,
69,ミド-トル,Midotor,,Midotor,,
70,オクトル,Octor,,Octor,,
71,ヒトデ-イト,Hitodeight,,Sachtstern,See + Acht + Stern,
72,ゴ-スボア,Ghosboar,,Eberschreck,Eber + Schreck(gespenst),
73,ラセンマイ,Rasenmai,,Spiralina,Spirale + Ballerina,
74,スコ-ピル,Scorpil,,Scorpil,,
75,ア-ムクラブ,Armcrab,,Krabbelarm,Krabbe(l) + Arm,
76,アンヂオ-ン,Angiorn,,Angiorn,,
77,ヂムレ-ス,Gymrace,,Gymrace,,
78,リリオンプ,Lirionpu,,Lirionote,Liriope + Note,
79,ワイタ,Whitah,,Whitah,Waitah,
80,ポッツァル,Potzal,,Potzal,,
81,アラニ-ダ,Araneida,,Araneida,,
82,ガッドホロウ,Gadhoro,,Gadhoro,,
83,クリオゲラ,Cliogera,,Cliogera,,
84,ガスト,Gust,,Gust,,
85,レイゲ,Reige,,Reige,,
86,トゲ-ルカ,Togeruka,,Togeruka,,
87,ライガリオン,Raigaleon,,Raigaleon,,
88,ガドルクマ,Gadorkuma,,Gadorkuma,,
89,アビラス,Abiras,,Abiras,,
90,アルファゴス,Alphagos,,Alphagos,,
91,キヨ-ルカ,Kiyoruka,,Kiyoruka,,
92,ヂムガ-ス,Gymgarth,,Gymgarth,,
93,バイオンプ,Baionpu,,Baionpu,,
94,ワルタ,Warutah,,Warutah,,
95,ガンツァトル,Gunzatl,,Gunzatl,,
96,アラクイダ,Arukuida,,Arukuida,,
97,バッドホロウ,Badhoro,,Badhoro,,
98,ランプゲラ,Lampgera,,Lampgera,,
99,テンペスト,Tempest,,Tempest,,
100,ズド-ン,Zudoon,,Zudoon,,
101,ヒユ,Hiyu,,Hiyu,,
102,ビブルナム,Gamazumi,,Gamazumi,,
103,パパウェル,Papaver,,Papaver,,
104,ガムル,Gamuru,,Gamuru,,
105,ブバルディ-,Bouvardi,,Bouvardi,,
106,ゴ-テリア,Gaultheria,,Gaultheria,,
107,ディプサクス,Dipsacus,,Dipsacus,,
108,カヤ,Kaya,,Kaya,,
109,デンファレ,Denfare,,Denfare,,
110,アンヂィオン,Angieon,,Angieon,,
111,イ-ジ-ドッグ,Easydog,,Easydog,,
112,トリケラ-マ,Tricerarmor,,Tricerarmor,,
113,クリプトスナイプ,Cryptosnipe,,Cryptosnipe,,
114,ファンブ-スト,Fungboost,,Fungboost,,
115,ブイ-ニカ,Veenica,,Veenica,,
116,サイグリガ-,Saiguliger,,Saiguliger,,
117,ア-ムドウルス,Armedurus,,Armedurus,,
118,オクトライフル,Octorifle,,Octorifle,,
119,イレイザ-ボア,Eraserboar,,Eraserboar,,
120,スピア-ニ-ドル,Spearneedle,,Spearneedle,,
121,ギルギア-ス,Gilgierth,,Gilgierth,,
122,ユニア-マ,Uniarmor,,Uniarmor,,
123,クリプトバ-ン,Cryptoburn,,Cryptoburn,,
124,ファンマシン,Fungmachine,,Fungmachine,,
125,プニ-スト,Punisto,,Punisto,,
126,スグライン,Suguline,,Suguline,,
127,マッハウルス,Machurus,,Machurus,,
128,オクタガン,Octagun,,Octagun,,
129,マミ-ボア,Mummyboar,,Mummyboar,,
130,キングピン,Kingpin,,Kingpin,,
131,ビ-バ-ム,Beebalm,,Beebalm,,
132,サラ-ル,Salal,,Salal,,
