#,Japanese,English,Draft version,German,Draft version (German),Notes
1,トロンコむら,Tronco Village,,Strunkdorf,,Italian for trunk
2,クリノンむら,Krinon Village,,Liliendorf,,Greek for lily
3,うみのみえるまち イーリス,"The Town by the Sea, Iris",,"Iris, die Stadt am Meer",,Greek for iris
4,パームかい,Palm Sea,,Palmenmeer,,English... for palm
5,キカイのまち フリジア,"The Town of Gadgets, Freesia",,"Freesien, Stadt der Maschinen",,It's freesia
6,すなのまち バーラン,"The Desert Town, Barran",,"Barran, die Stadt in der Wüste",Dahlie,"Probably from baran (Japanese), might be from barren (English)"
7,イオンとう,Ion Island,,Veilcheninsel,,Greek for violet
8,パパルナこ,Paparouna Lake,,Mohnblütensee,,Greek for poppy
9,パンセスむら,Panses Village,,Primelbach,,Greek for pansy
10,トリパむら,Toulipa Village,,Tulpenburg,,Greek for tulip
11,フラウラむら,Fraoula Village,,Erdbeerheim,,Greek for strawberry
12,あくまのやま ペペリやま,"The Devil's Mountain, Mt. Peperi",,Teuflischer Pfefferberg,,Greek for pepper (the spice)
13,イクソスのもリ,Ixos Forest,,Mistelhain,,Greek for mistletoe
14,カクトスいせき,Cactos Ruins,,Kaktusruinen,,Greek for cactus
15,どくのみずうみ ミケス,"The Poisoned Lake, Myces",,Düngerlingmorast,,Greek for mushroom
16,ブリオンいせき,Bryon Ruins,,Moosruinen,,Greek for moss
