Pointer,Japanese
0x11c000,ここはトロンコむらだプニ«0xe2»ここは ムサさまのきょかが«0xe2»ないと とおれないプニ-«0xe2»«*0»
0x11c002,アンテナのきが つかえるように«0xe2»なって あんしんしたプニ-«*0»
0x11c004,かわのミズなんて よごれてて«0xe2»のめないよ«0xe2»やっぱリ わきミズが«0xe2»いちばんおいしいよ«0xe2»はやく ミズがこないかな...«0xe2»«*0»
0x11c006,ネタロが ミズを はこんで«0xe2»きてくれたんだ-«0xe2»やっぱリ わきミズが«0xe2»イチバンだね!!«*0»
0x11c008,キミはデンジュウカイは«0xe2»はじめてかい?«0xe2»デンジュウにも いろんなヤツが«0xe2»いるから はなしを«0xe2»きいてみるといいよ«*0»
0x11c00a,トモダチはふえたかい??«*0»
0x11c00c,デンジュウって いろいろな«0xe2»ところにすんでるんだ«0xe2»おおきくわけて 6しゅるい«0xe2»『いわやま』『そうげん』«0xe2»『しんリん』『みずベ』『そら』«0xe2»『さばく』«0xe2»っていうふうに わかれるんだよ«0xe2»«*0»
0x11c00e,デンジュウもニンゲンみたいに«0xe2»いろいろな せいかくや«0xe2»あいしょうが あるのさ«0xe2»«*0»
0x11c010,なんだか さいきんおかしな«0xe2»ことがおきるんだ«0xe2»ヘんなニンゲンがきたリ «0xe2»『アンテナのき』が おられたリ«0xe2»したんだ«0xe2»«*0»
0x11c012,トロンコむらは いつもどおリに«0xe2»もどったみたいだね«0xe2»よかった-«0xe2»«*0»
0x11c014,キミは 『Tファンガ-』かい?«0xe2»『Tファンガ-』ってのは«0xe2»デンジュウを うまく«0xe2»つかいこなせる ニンゲンの«0xe2»ことをいうんだけどね«0xe2»«*0»
0x11c016,オレは ここでかわの«0xe2»みはリをしているんだ«0xe2»うみにすむ デンジュウは«0xe2»おっきくて おそろしい«0xe2»れんちゅうだからね«0xe2»«*0»
0x11c018,したのほうにいる ニンゲンが«0xe2»こわいんだよ-«0xe2»あのニンゲン デンジュウカイに«0xe2»なにをしにきたんだろう?«*0»
0x11c01a,したにいた ニンゲン«0xe2»どこかヘいっちゃった«0xe2»ひとあんしんだよ-«0xe2»«*0»
0x11c01c,くさのなかに おちてる«0xe2»アイテムを みつけるほうほうが«0xe2»あるんだって«0xe2»どうやって さがすんだろう?«*0»
0x11c01e,くさのなかで ダッシュすると«0xe2»くさが なくなって アイテムが«0xe2»でてくるんだって-«0xe2»«*0»
0x11c020,デンジュウたちに たんじょうびがあるのはしってる??«0xe2»おなじデンジュウでも«0xe2»うまれたつきがちがうと«0xe2»つよさが ちがったリするんだよ«0xe2»«*0»
0x11c022,『おいしいカレ-を』だなんて«0xe2»あのニンゲン なにをいって«0xe2»いるんだろ-ね.....«0xe2»ところでカレ-って......«0xe2»なに????«0xe2»«*0»
0x11c024,オレ カレ-っていうヤツ«0xe2»みたことあるぜ!«0xe2»きいろくて からくて...«0xe2»え-と...え-...«0xe2»すごくはやいんだ!!«0xe2»«*0»
0x11c026,キミたち あのネジロと«0xe2»テレファングして«0xe2»かったそうじゃないプニか«0xe2»ボクとも テレファングを«0xe2»してプニよ-«0xe2»«*0»
0x11c028,やっぱリ あのネジロと«0xe2»テレファングするだけのことは«0xe2»あるプニね-!«0xe2»«*0»
0x11c02a,ネタロをおこしにいくの?«0xe2»じゃぁ オトウトの«0xe2»ネジロに きをつけたほうが«0xe2»いいわよ«0xe2»ネジロは ネタロのジャマをする«0xe2»ニンゲンが キライなんだって«*0»
0x11c02c,ネジロに テレファングで«0xe2»かつなんて アナタの トモダチ«0xe2»すごいわね-«0xe2»«*0»
0x11c02e,ネタロのかわリに ミズを«0xe2»はこぼうとおもったんだけど«0xe2»ネジロに«0xe2»『ネタロのしごとをとるな』«0xe2»っておいかえされたんだ...«0xe2»«*0»
0x11c030,ネジロとそうだんしたんだけど«0xe2»これからはオレがネタロと«0xe2»こうたいでミズをはこぶことに«0xe2»したんだ!«0xe2»これならネタロもだいじょうぶ«0xe2»だよ!«0xe2»これからのことは イロイロ«0xe2»3びきで はなしていくよ!«*0»
0x11c032,このドウクツは トロンコむらの«0xe2»すいげんに なってるんだ«0xe2»おくのほうに ネタロが«0xe2»いるはずなんだけど..«*0»
0x11c034,さっき ネタロがむらのほうヘ«0xe2»ミズをもっていくのをみたよ«0xe2»また ミズはこびを«0xe2»はじめたんだね-«*0»
0x11c036,こんにちわ-«0xe2»あっ? ニンゲンだ!«0xe2»ニンゲンには ようはないよ«0xe2»かえって かえって«0xe2»ボクは デンジュウとトモダチに«0xe2»なリたいんだ«0xe2»ニンゲンには きょうみないよ«0xe2»«*0»
0x11c038,したのひろばで«0xe2»カクザとう とうしゅ«0xe2»ネリカラさまの こうえんを«0xe2»おこなっています«0xe2»デンジュウのみなさんは «0xe2»ぜひ おたちよリください«*0»
