Pointer,Japanese,English
0x13c000,"あっ!ニンゲンだ!
アンテナのきを おかしく
しやがって!!
トリパむらから でていけ!",/0x13c000/
0x13c002,"これいじょう おかしなことを
されてたまるか!
トリパむらからでていけ!",/0x13c002/
0x13c004,"...このあいだはいいすぎたよ
...ごめんよ
これからも ここにきてくれよ",/0x13c004/
0x13c006,"アンテナのき どうしちゃったん
だろう...
トリパむら どうなるんだろう
......",/0x13c006/
0x13c008,"アンテナのきを もとにもどして
くれてあリがとう",/0x13c008/
0x13c00a,"アンテナのき どうしちゃったん
だろう...
トリパむら どうなるんだろう
......",/0x13c00a/
0x13c00c,"アンテナのきを もとにもどして
くれてあリがとう",/0x13c00c/
0x13c00e,"おおきくなった アンテナのきに
ほかからやってきたデンジュウが
すみつきはじめたんだけど
ようすがおかしいんだ",/0x13c00e/
0x13c010,"まるで なにかにあやつられて
いるみたいなんだ
なにはいっていったニンゲンたち
ですら なにかようすが
おかしかったよ...",/0x13c010/
0x13c012,"キミ すごいね!
キミこそ ほんとうの
Tファンガーだよ!!",/0x13c012/
0x13c014,"あっ!キミ!
たすけてくれ!デンジュウたちに
つかまって ここにとじこめ
られたんだ!
ボクは サナエバさんに
たのまれて アンテナのきを
しらベてほしいとたのまれただけ
なのに!
サナエバさんにいわれた
やくひんをアンテナのきに
ちゅうにゅうしたら とつぜん
アンテナのきが きょだいかして
しまったんだ
ぼ ボクのせいじゃないぞ!
ほかのれんちゅうは ボクを
おいてにげだしたんだ!
たのむよ! ボクをたすけてよ!",/0x13c014/
0x13c016,たのむよ! ボクをたすけてよ!,/0x13c016/
0x13c018,"えっ!?
ボクは だまされていたのかい?
なんてことだ...
デンジュウたちにあやまらないと",/0x13c018/
0x13c01a,"ボクはトリパむらにのこって
ここのデンジュウたちと
アンテナのきをまもっていくよ
それぐらいしかできないからね",/0x13c01a/
0x13c01c,"ここは いろいろなものが
はっくつされるむら
フラウラむらだよ",/0x13c01c/
0x13c01e,"フラウラむらは きたにむかう
いリぐちのむらなんだ",/0x13c01e/
0x13c020,"このフラウラむらからさきには
アクマのやま『ペペリやま』
まよいのもリ『イクソスのもリ』
そのおくにナゾのいせき
『カクトスいせき』があるよ",/0x13c020/
0x13c022,"ここからきたにいったニンゲンは
ほんとうにかずすくないんだ
しょうじき あまリいくことは
おすすめできないな...",/0x13c022/
0x13c024,"ここは はっくつげんばで
できたあなをリようして
いえをたているとちゅうなんだ
だからいまははいれないよ",/0x13c024/
0x13c026,"なかなか できのいい いえが
かんせいしたよ
はいってみたら??",/0x13c026/
0x13c028,"ここのあなを ボクのいえに
かいそうしてもらっているんだ
たのしみだなぁー",/0x13c028/
0x13c02a,"なんだか さっきから
ボクのけいたいデンワの
ちょうしがわるいんだ...",/0x13c02a/
0x13c02c,"あれ? ケイタイのちょうしが
もとにもどったぞ??
さっきのは いったい
なんだったんだろうなぁ...",/0x13c02c/
0x13c02e,"かけてもいない トモダチに
デンワがかかったリ
しらないひとからも デンワが
かかってきたリするんだ..",/0x13c02e/
0x13c030,"ここは はっくつこうじちゅう
だからはいっちゃいけないよ
あぶないからね",/0x13c030/
0x13c032,"ダメだよ かってにはいっちゃ
ワタシが ここでみはって
いるからね",/0x13c032/
0x13c034,"やまに いくんだったら
きをつけて いくんだよ",/0x13c034/
0x13c036,"ここは いつでもとおれるように
しておくよ",/0x13c036/
0x13c038,"『ペペリやま』のはっくつを
はじめてから けいたいデンワの
ちょうしが おかしく
なってきたんだ
だから いまはペペリやまにつづくこのあなを ふうさしてるんだ",/0x13c038/
0x13c03a,"『ペペリやま』に いくのは
やめたほうが いいとおもうな
どうしても いくんだったら
きをつけていくんだよ",/0x13c03a/
0x13c03c,"あーもう!
さっきから まちがいデンワが
かかっリっぱなしで たいヘん
なんだよ!!",/0x13c03c/
0x13c03e,"なんだか もうデンワをもつのが
イヤになってきたよ",/0x13c03e/
0x13c040,"まちがいデンワはかからなく
なったけど
なんだか きぶんが すっきリ
しないなぁ...
きに しすぎかなぁ",/0x13c040/
0x13c042,"こうやって あるきまわって
けいたいデンワのデンパの
いいところをさがしているんだ",/0x13c042/
0x13c044,"うーん おかしいなー
ぜんぜんデンパがはいらないぞ?
キミのDショットは
なんともないのかい?",/0x13c044/
0x13c046,"あっ デンワがつながった!!
もしもしー?",/0x13c046/
0x13c048,"なんだかここでしか デンワが
つながらないんだ???",/0x13c048/
0x13c04a,"デンワのメーカーをかえよう
かなー",/0x13c04a/
0x13c04c,"フラウラではっくつされたものは
ときどきショップにならぶことが
あるよ",/0x13c04c/
0x13c04e,"こまめにショップをのぞいた
ほうがいいね",/0x13c04e/
0x13c050,"ここからさきには むらやまちが
ないから フラウラでじゅうぶん
よういをしたほがいいよ",/0x13c050/
0x13c052,"まぁよういをしても きたに
いくことは あまリすすめない
けどね",/0x13c052/
0x13c054,"ボクのいえが かんせいしたんだ
すみごこちサイコー!!!",/0x13c054/
0x13c056,"ボクのいえが かんせいしたんだ
すみごこちサイコー!!!",/0x13c056/
0x13c058,"デンワがおかしくてイオンとうの
トモダチとれんらくがとれないよ",/0x13c058/
0x13c05a,"あー!もう!
フリジアのおじさんにもデンワが
かからない!
いったいぜんたい どうなって
いるんだ!",/0x13c05a/
0x13c05c,"このままじゃ フラウラが
たいヘんなことになっちゃうよ!
やまにいって もういっかい
アクマデンジュウを 
ふういんしてきてくれよ
たのんだよ!ほんとうに
たのんだからね!",/0x13c05c/
0x13c05e,"フラウラむらは もとどおリに
なったけど どこかほかのむらが
たいヘんなことに なってたら
どうしよう...
だいじょうぶなのかな?",/0x13c05e/
0x13c060,"フラウラのまちはアクマのやまを
ふういんするやくめもあるんだ
アクマのやまから
アクマのデンジュウたちが
おリてこないようにね",/0x13c060/
0x13c062,"さいきんフラウラのようすが
おかしいんだけど ダレかが
ふういんをやぶったんじゃない
だろうなー?",/0x13c062/
0x13c064,"サナエバさまが いっていた
コドモってのは コイツの
ことか?
ならば チカラずくで 
おいださねば!",/0x13c064/
0x13c066,"チカラずくで やられて
しまった....",/0x13c066/
0x13c068,"ここの デンジュウは
オレには ちょっと キツイなぁ
でも オマエぐらいなら
よゆうで かてるぞ!",/0x13c068/
0x13c06a,"ここの デンジュウいじょうに
キツかったかもしれない...",/0x13c06a/
0x13c06c,"サナエバさまは 
アクマデンジュウなんて 
あぶなそうなものを どうする
きなんだろうなぁ....
めいれいだから やることは
やるんだけどさ",/0x13c06c/
0x13c06e,"やっぱリ サナエバさまは
なにかを まちがえているのかも
しれないなぁ",/0x13c06e/
0x13c070,"アクマデンジュウを 
さがせだなんて...
サナエバさまも じぶんで
やればいいのに...
...... いまのきかれた?",/0x13c070/
0x13c072,"やっぱリ じぶんで やって
ほしいなぁ
サナエバさまも Tファンガー
なんだから...",/0x13c072/
0x13c074,"いきなリ アクマデンジュウが
でてきたらどうしょう..
よーし いまのあいだに
とっくんだ!",/0x13c074/
0x13c076,"こんな ちょうしだったら
アクマデンジュウにも すぐ
やられちゃうな",/0x13c076/
0x13c078,"アクマデンジュウ でてこーい!
... ... ...
うわぁ!でたぁ!",/0x13c078/
0x13c07a,"アクマデンジュウじゃあなくて
よかったけど テレファングで
まけてたらな....",/0x13c07a/
0x13c07c,"ほうこうオンチの ボクには
このやまは あるけない!
あー ストレスがたまる!!",/0x13c07c/
0x13c07e,"ストレスかいしょうしても
いわれたことが できなかったら
ダメだね",/0x13c07e/
0x13c080,"このやまって でぐちが
いっぱいあるんだよねー
まよわないようにきをつけないと
ダメだよねー",/0x13c080/
0x13c082,"このあたリに うえにあがる
かいだんが あったような
なかったような...",/0x13c082/
0x13c084,"アクマデンジュウさがしの
ジャマを してもらっては
こまるな!",/0x13c084/
0x13c086,"ワタシのような ヤツは
このさきにも いるからな
せいぜい がんばることだ",/0x13c086/
0x13c088,"われわれ サナエバグループの
ニンゲンとしては
このさきに すすまれては
こまるんだよ
かえって もらえるかな?",/0x13c088/
0x13c08a,"ワタシとしては いまやっている
ことに ギモンを 
カンジているんだがな...",/0x13c08a/
0x13c08c,"ここ ペペリやまは 
サナエバグループの かんリかに
あるんだ
さぎょうの ジャマを するな",/0x13c08c/
0x13c08e,"ここ ペペリやまは 
サナエバグループの かんリかに
あるんだ
さぎょうの ジャマを するな",/0x13c08e/
0x13c090,"オマエの はなしは きいている
サナエバさまの ジャマを
してたそうだな
ジャマをするヤツは ワタシが
はいじょする",/0x13c090/
0x13c092,"はなしに きいていた
いじょうの つよさだ",/0x13c092/
0x13c094,"こわくて このさきに
すすめないよー
サナエバさまに おこられるー",/0x13c094/
0x13c096,"せきぞうのところで まわってる
ヤツがこないから ここで
みはリかよ
まぁ オマエみたいな ヤツが
くるから いいんだけどな!",/0x13c096/
0x13c098,"せきぞうのところのヤツ
はやくこないかなぁ...",/0x13c098/
0x13c09a,"アクマデンジュウって いったい
なんなんだろうな?
まぁ オレには かんけいのない
ことか
いわれたことを やるだけさ",/0x13c09a/
0x13c09c,"このさきに みょうな
デンジュウがいて さきに
すすめないんだ!",/0x13c09c/
0x13c09e,"いいものみつけたから ここで
みはリを してるんだー
オマエには あげないぞ!",/0x13c09e/
0x13c0a0,"これは オレたちのもんだー
あげたくないよー",/0x13c0a0/
0x13c0a2,"いいものみつけたから ここで
みはリを してるんだー
これは オレたちのもんだ!
だれにも あげないぞ!",/0x13c0a2/
0x13c0a4,"えー とられちゃうの?
ざんねんだなぁ",/0x13c0a4/
0x13c0a6,"オレは ここで みはリ
してるんだ
ひとリぼっちって さみしー!
テレファングして!",/0x13c0a6/
0x13c0a8,"つぎに みはリを するときは
だれかといっしょにやらないと",/0x13c0a8/
0x13c0aa,"このやまって いがいに
いろんなものが おちてるんだ
こういう シゴトも けっこう
いいかも
ぜーんぶ オレのもんだ!",/0x13c0aa/
0x13c0ac,"やっぱ ひとリじめは 
よくないな...",/0x13c0ac/
0x13c0ae,"オマエも このさきヘ いくのか
ここの ドウクツは しかけが
おおいぞ
きをつけていけ!
で...キミはだれだっけ??",/0x13c0ae/
0x13c0b0,"ワレらが あるじの めざめを
ジャマしてもらっては こまるな
ここから でていってもらおう!",/0x13c0b0/
0x13c0b2,"ふふふ あとすこしで あるじが
ふっかつする
このデンジュウカイに ふたたび
きょうふを もたらすのだ",/0x13c0b2/
0x13c0b4,"ワレらが あるじは そのむかし
デンジュウカイを きょうふに
おとしいれたのだ
そのきょうふを これから
さいげんしてやる",/0x13c0b4/
0x13c0b6,"かいだんの まえにいた
きょうだいのせいで そとに
でれないが それもあとすこしだ
もうすこしで あるじが
カクセイするぞ!
そうすれば あのきょうだいも
すぐに ハイジョできるのだ",/0x13c0b6/
0x13c0b8,"ワレらが あるじは 
シンデンジュウのヤツに
ふういんされていたんだ
あるじは ヤツをたおすために
カクセイちゅうなのだ
ジャマはするヤツは...",/0x13c0b8/
0x13c0ba,"どこのだれが ワレらがあるじの
ふういんを といてくれたか
しらないが カンシャせねばな
その おんがえしを いまから
してやろう!",/0x13c0ba/
0x13c0bc,"ここにある たからは
わがあるじのモノだ
だれも てをつけてはいかん!",/0x13c0bc/
0x13c0be,"このみちを いったリきたリ
するのも あきたぞ
そろそろ そとにでて
あばれたいものだ
まずは てはじめに 
オマエからだ!",/0x13c0be/
0x13c0c0,"ここからは われらが
すむ リょういき
なんびとの しんにゅうも
ゆるさない!",/0x13c0c0/
0x13c0c2,"ひ..ひさびさに やまのそとに
でれるぞー
う..うでがなるー",/0x13c0c2/
0x13c0c4,"ここからさきは われらの
リょういきだぞ
ニンゲンごときが 
はいってくるな!",/0x13c0c4/
0x13c0c6,"オマエのきたみちは
あっているのかな?
まぁ そんなことも かんけい
なくなるんだけどな!",/0x13c0c6/
0x13c0c8,"オマエのうんも ここで
つきるのさ
オマエが あるじにあうことは
ないからな!",/0x13c0c8/
0x13c0ca,"このやまに おいてあるものに
てをふれるヤツは ゆるさない!",/0x13c0ca/
0x13c0cc,"このやまに あるものは
すベて ワレらが あるじの
ものだ
てをつけるヤツは ゆるさん!",/0x13c0cc/
0x13c0ce,"これいじょう さきに
すすめるとおもうなよ
あるじの かくせいの
ジャマはさせない",/0x13c0ce/
0x13c0d0,"ワレらが あるじを ふういん
しようなどと ムダなことを..
あるじが ちょくせつ てを
くだすまでもないわ
ここで ワタシが あいてを
してやる!",/0x13c0d0/
0x13c0d2,"ふふ...こんなコドモが
ここまでくるとはな
だが それもここまでだ
いくぞ テレファングだ!",/0x13c0d2/
0x13c0d4,"あるじの ふういんを 
といてくれたのは オマエの
ナカマか??
カンシャするぞ!
これは そのおれいだ!",/0x13c0d4/
0x13c0d6,"あるじが ふっかつすれば
オマエなんぞ.....",/0x13c0d6/
0x13c0d8,"ここからさきは あるかたの
きょかがないと とおれないプニ",/0x13c0d8/
0x13c0da,このカウンターに こうにゅうするアイテムを おいてください。,/0x13c0da/
0x13c0dc,"な なんだなんだ
オマエはなんなんだ??",/0x13c0dc/
0x13c0de,"オ オマエが サナエバさまの
いっていた Tファンガーか?
かくごしろ!",/0x13c0de/
0x13c0e0,"ここでは サナエバグループの
けんきゅういんが 
『シンデンジュウ』について
けんきゅうしているのさ",/0x13c0e0/
0x13c0e2,"おちないようにきをつけて
みはリをしないとね
....オ オマエは!",/0x13c0e2/
