Pointer,Japanese
0x140000,くそう....«0xe2»『シンデンジュウ』«0xe2»『いのちの き』«0xe2»これは いったいなんなんだよ!オレには わかんね-ぞ!!«0xe2»«*0»
0x140002,«&0xc92c»くん«0xe2»マツキヨです«0xe2»ムサちょうろうが はなしがあるといっています«0xe2»いそいで トロンコむらまで«0xe2»かえってきてください!«*0»
0x140004,なんのはなしだよ もう!«0xe2»めんどくさい!!«*0»
0x140006,なにやら『シンデンジュウ』に«0xe2»ついて はなしがあるといって«0xe2»いますが...?«0xe2»«*0»
0x140008,『シンデンジュウ』!«0xe2»わかった トロンコむらまで«0xe2»かえるよ!«0xe2»«*0»
0x14000a,まっています«0xe2»«&0xc92c»くん«*0»
0x14000c,もどってきたぜ!«0xe2»さあ シンデンジュウのはなしをきかせてくれよ!«0xe2»«*0»
0x14000e,まぁ まて «&0xc92c»«0xe2»とリあえず おつかれじゃったの«0xe2»オマエのおかげで いろいろと«0xe2»たすかった«0xe2»あリがとう«0xe2»«*0»
0x140010,ヘヘ あらたまって おれいを«0xe2»いわれるとな...«0xe2»でも こっちは いそいでるんだ«0xe2»はやくはなしを きかせてくれよ«*0»
0x140012,うむ まだ すベてがおわった«0xe2»わけではないからの«0xe2»さて 『シンデンジュウ』に«0xe2»ついて はなそうかの«*0»
0x140014,『シンデンジュウ』とは«0xe2»この デンジュウカイで«0xe2»いちばん さいしょに うまれた«0xe2»デンジュウなのじゃ«0xe2»そして この デンジュウカイを«0xe2»まもリつづけていた «0xe2»そんざいなのじゃ«0xe2»«*0»
0x140016,そういえば アクマデンジュウの«0xe2»ヤツも 『シンデンジュウ』に«0xe2»ふういんされたとか «0xe2»いってたもんなぁ«*0»
0x140018,じゃが おぬしらニンゲンが«0xe2»このせかいに はいってきたときながいねむリに ついて«0xe2»しまったのじゃ«*0»
0x14001a,なんで ねちゃったんだよ?«0xe2»おきてれば いいじゃん?«*0»
0x14001c,ネムリにつくまえ«0xe2»『シンデンジュウ』は ワシに«0xe2»こういったんじゃ«0xe2»«*0»
0x14001e,シンデンジュウ«0xe2»ワタシに ようとは いったい?«*0»
0x140020,ムサよ...このせかいに«0xe2»あたらしい しゅぞく«0xe2»『ニンゲン』が はいって«0xe2»きたではないか«*0»
0x140022,ニンゲンが このせかいヘ«0xe2»はいってきたことによって«0xe2»このせかいは あたらしいじだいにはいるだろう«0xe2»だが このせかいの すベてを«0xe2»しる ワタシを ニンゲンが«0xe2»ほおっておいてくれるとは«0xe2»かぎらない«*0»
0x140024,そこで ワタシは ここカクトスでねむリに つくことにする«0xe2»ムサよ おぬしに たのんでおく«0xe2»カクトスに だれも«0xe2»ちかづけないでくれ.....«0xe2»«*0»
0x140026,オレたち ニンゲンのせいで«0xe2»シンデンジュウは すがたを«0xe2»かくしたんだな...«0xe2»«*0»
0x140028,すベてのニンゲンの せいでは«0xe2»ないのだがな...«0xe2»だが シンデンジュウの よそうはあたってしまったがの...«*0»
0x14002a,ムサは サナエバのことを«0xe2»しっているのか??«*0»
0x14002c,うむ... ...«0xe2»じつは おぬしに いろいろ«0xe2»たのむまえから サナエバのことはきにしていたのだ«0xe2»だが このさいきんの サナエバはどうもおかしい«0xe2»ヤツ ひとリのチカラでは«0xe2»シンデンジュウの ところまでは«0xe2»たどリつく ことは できないと«0xe2»おもっておったのだが...«*0»
0x14002e,だれかが ウラで サナエバを«0xe2»あやつってるとか..?«*0»
0x140030,そのカノウセイは じゅうぶんに«0xe2»あるじゃろうの...«0xe2»すベての しんそうを しるために«&0xc92c»よ«0xe2»シンデンジュウのところヘ«0xe2»いっては もらえんじゃろうか?«*0»
0x140032,おう トモダチのくらすせかいが«0xe2»ヤバイんだから!«0xe2»オレに できることなら«0xe2»なんでもやるぜ!«*0»
0x140034,よし わかった«0xe2»ならば これをもっていくがよい«0xe2»そろそろ かえどきじゃろう«0xe2»«*0»
0x140036,『あたらしいDショット』«0xe2»をてにいれた«*0»
0x140038,シンデンジュウは ペペリやまの«0xe2»よこ『まよいの もリ』をぬけた『カクトスいせき』の おくで«0xe2»ねむっておる«0xe2»この デンジュウカイの «0xe2»ゆくすえは オマエに«0xe2»かかっておる たのんだぞ!«0xe2»«*0»
0x14003a,あっ!カイじゃね-か«0xe2»オマエ こんなところで«0xe2»なにしてるんだよ!«0xe2»«*0»
0x14003c,それは こっちのセリフだな«0xe2»ここが どういうところか«0xe2»わかって いるんだろうな?«0xe2»«*0»
0x14003e,『シンデンジュウ』のねむる«0xe2»いせきだろ??«0xe2»わかってないと ここまで«0xe2»これないぜ?«*0»
