Pointer,Japanese
0x1281d9,シンデンジュウのねむる«0xe2»『カクトスいせき』は«0xe2»『ペペリやま』のひがし«0xe2»『まよいのもリ』を ぬけた«0xe2»ところにあリます«0xe2»サナエバの てしたも«0xe2»そのもリで まちかまえて«0xe2»います«0xe2»きをつけて いってください«*0»
0x1281db,いよいよ さいごです«0xe2»さいごのテキは«0xe2»まよいのもリのアンテナのきから«0xe2»いける 『ブリオンいせき』で«0xe2»まちかまえています«0xe2»きをひきしめて いってください«*0»
0x1281dd,テレファングは たのしいですね«0xe2»«&0xc92c»くん«0xe2»これからもがんばってください«0xe2»«*0»
0x1281df,『ずかん』かんせい おめでとう!«&0xc92c»くん!!«*0»
0x1281e1,これからも がんばってください«*0»
0x1281e3,『ネジロのいえ』«*0»
0x1281e5,『ネタロのいえ』«*0»
0x1281e7,『ワラタのいえ』«*0»
0x1281e9,『クリプトのいえ』«*0»
0x1281eb,『ファンガスのいえ』«*0»
0x1281ed,『プニカのいえ』«*0»
0x1281ef,『ケシのいえ』«*0»
0x1281f1,『グミのいえ』«*0»
0x1281f3,『スグリのいえ』«*0»
0x1281f5,『コキアのいえ』«*0»
0x1281f7,だ-っ!!«0xe2»オマエ こんなところで«0xe2»なにしてるんだよ!«0xe2»オレが たおした はずじゃ«0xe2»なかったのか!?«0xe2»«*0»
0x1281f9,キミは??«0xe2»ボクは まだ うまれたばかリで«0xe2»ボクがダレなのかも ここが«0xe2»どこかも しらないんだ«0xe2»キミはボクのことを«0xe2»しっているの??«*0»
0x1281fb,ヘっ??«0xe2»うまれたばかリってことは«0xe2»ひょっとして...«0xe2»«*0»
0x1281fd,ここにはえている きが«0xe2»シンデンジュウのいっていた«0xe2»デンジュウが うまれる き«0xe2»『いのちの き』なのか?«*0»
0x1281ff,ね-ね- ボクのこと«0xe2»しってるの-?«*0»
0x128201,まえに おれたちと«0xe2»テレファングしたことは«0xe2»おぼえてないってことか...«0xe2»そうだよな...«0xe2»さいしょから あんなふうに«0xe2»わるいことを してたわけじゃ«0xe2»なかったんだろうな...«0xe2»«*0»
0x128203,ね-ってば!!!«0xe2»こっちむいてよ-!!«*0»
0x128205,わるいわるい«0xe2»オレたちは トモダチを«0xe2»たくさん つくるために«0xe2»たびを してるんだ«0xe2»よければ オレのトモダチに«0xe2»なってくれないか?«*0»
