Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
#######,"Story Messages 1   -   253 strings   -   Shop text, and messages from start of game to Kurinon",,,,,
#######,105 strings   -   Shop text,,,,,
0x120000,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,"Status: Translated 100%
"
0x120002,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ<*A>","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,Shop 1 (Toronko)
0x120004,<S0> <&0xca00>チル<*4>,<S0> <&0xca00>Ch.<*4>,,<S0> <&0xca00>Ch.<*4>,,
0x120006,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x120008,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x12000a,"ここのショップでは できませんがショップのなかの
ひだリがわの カウンターで
『じっけんシンカ』か
『かいぞうシンカ』を
おこなうことができます","In other shops, you can perform ""Fusion"" and ""Lab"" evolution at the left counter.",,In anderen Filialen kannst du hier Labor- und Fusions-Entwicklungen durchführen lassen.,,
0x12000c,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,"Wende dich an den rechten Schalter, wenn du bezahlen willst.",,Shop 2
0x12000e,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,
0x120010,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x120012,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x120014,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x120016,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,
0x120018,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,Hier kannst du deine Denjuu durch Fusion entwickeln lassen.,,
0x12001a,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,Lass mich deinen Fusions-Pass sehen.,
0x12001c,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,Dein Denjuu kann sich mit diesem Fusions-Pass nicht entwickeln.,
0x12001e,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,Shop 3
0x120020,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,
0x120022,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x120024,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x120026,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x120028,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,
0x12002a,"ここでは デンジュウを
『じっけんシンカ』させることが
できます",You can evolve your Denjuu using the laboratory here.,,Hier kannst du deine Denjuu in unserem Labor entwickeln lassen.,,
0x12002c,"『じっけんしよう』を
みせてください。","Let me see your ""Lab pass"".",,,Lass mich deinen Labor-Pass sehen.,
0x12002e,"この『じっけんしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Lab pass.,,,Dein Denjuu kann sich mit diesem Labor-Pass nicht entwickeln.,
0x120030,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,Shop 4
0x120032,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,
0x120034,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x120036,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x120038,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x12003a,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,
0x12003c,"ここでは デンジュウを
『じっけんシンカ』させることが
できます",You can evolve your Denjuu using the laboratory here.,,Hier kannst du deine Denjuu in unserem Labor entwickeln lassen.,,
0x12003e,"『じっけんしよう』を
みせてください。","Let me see your ""Lab pass"".",,,Lass mich deinen Labor-Pass sehen.,
0x120040,"この『じっけんしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Lab pass.,,,Dein Denjuu kann sich mit diesem Labor-Pass nicht entwickeln.,
0x120042,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,Shop 5 (Unused)
0x120044,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,(Unused)
0x120046,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,(Unused)
0x120048,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,(Unused)
0x12004a,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,(Unused)
0x12004c,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,(Unused)
0x12004e,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,Hier kannst du deine Denjuu mittels Fusion entwickeln lassen.,,(Unused)
0x120050,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,Lass mich deinen Fusions-Pass sehen.,(Unused)
0x120052,"この『きょかしょう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this permit.,,,Dein Denjuu kann sich mit diesem Schein nicht entwickeln.,"(Unused)
Says permit instead of pass."
