Y,X,Tile Offset,Attribute Mixing,Attributes
d0,0,1,LocalAttribs,0
d0,8,2,LocalAttribs,0
d0,10,3,LocalAttribs,0
d0,18,4,LocalAttribs,0
d8,f0,5,LocalAttribs,1
d8,f8,6,LocalAttribs,3
d8,0,7,LocalAttribs,0
d8,8,8,LocalAttribs,0
d8,10,9,LocalAttribs,0
d8,18,a,LocalAttribs,0
e0,f0,b,LocalAttribs,0
e0,f8,c,LocalAttribs,0
e0,0,d,LocalAttribs,0
e0,8,e,LocalAttribs,0
e0,10,f,LocalAttribs,3
e0,18,10,LocalAttribs,3
e8,f0,11,LocalAttribs,4
e8,f8,12,LocalAttribs,0
e8,0,13,LocalAttribs,0
e8,8,14,LocalAttribs,3
e8,10,15,LocalAttribs,1
e8,18,16,LocalAttribs,3
f0,f0,17,LocalAttribs,4
f0,f8,18,LocalAttribs,1
f0,0,19,LocalAttribs,1
f0,8,1a,LocalAttribs,1
f0,10,1b,LocalAttribs,1
f0,18,1c,LocalAttribs,3
f8,f0,29,LocalAttribs,4
f8,f8,2a,LocalAttribs,4
f8,0,2b,LocalAttribs,1
f8,8,20,LocalAttribs,1
f8,10,21,LocalAttribs,1
f8,18,22,LocalAttribs,1
0,f0,23,LocalAttribs,4
0,f8,24,LocalAttribs,0
0,0,25,LocalAttribs,1
0,8,26,LocalAttribs,2
0,10,27,LocalAttribs,2
0,18,28,LocalAttribs,1
