Y,X,Tile Offset,Attribute Mixing,Attributes
d0,0,1,LocalAttribs,0
d0,8,2,LocalAttribs,0
d0,10,3,LocalAttribs,0
d8,f8,4,LocalAttribs,0
d8,0,5,LocalAttribs,0
d8,8,6,LocalAttribs,0
d8,10,7,LocalAttribs,0
e0,f0,8,LocalAttribs,2
e0,f8,9,LocalAttribs,0
e0,0,a,LocalAttribs,0
e0,8,b,LocalAttribs,0
e0,10,c,LocalAttribs,0
e0,18,d,LocalAttribs,0
e8,f0,e,LocalAttribs,2
e8,f8,f,LocalAttribs,0
e8,0,10,LocalAttribs,1
e8,8,11,LocalAttribs,0
e8,10,12,LocalAttribs,0
e8,18,13,LocalAttribs,0
f0,e8,29,LocalAttribs,3
f0,f0,2a,LocalAttribs,2
f0,f8,2b,LocalAttribs,0
f0,0,2c,LocalAttribs,0
f0,8,2d,LocalAttribs,0
f0,10,2e,LocalAttribs,0
f0,18,2f,LocalAttribs,0
f8,e8,30,LocalAttribs,0
f8,f0,31,LocalAttribs,0
f8,f8,32,LocalAttribs,0
f8,0,33,LocalAttribs,0
f8,8,34,LocalAttribs,0
f8,10,20,LocalAttribs,0
f8,18,21,LocalAttribs,0
0,e8,22,LocalAttribs,0
0,f0,23,LocalAttribs,0
0,f8,24,LocalAttribs,0
0,0,25,LocalAttribs,0
0,8,26,LocalAttribs,0
0,10,27,LocalAttribs,0
0,18,28,LocalAttribs,0
