X,Y,Tile Offset,Attribute Mixing,Attributes
d0,0,1,LocalAttribs,10
d0,8,2,LocalAttribs,10
d0,10,3,LocalAttribs,10
d8,f8,4,LocalAttribs,10
d8,0,5,LocalAttribs,10
d8,8,6,LocalAttribs,10
d8,10,7,LocalAttribs,10
e0,f0,8,LocalAttribs,12
e0,f8,9,LocalAttribs,10
e0,0,a,LocalAttribs,10
e0,8,b,LocalAttribs,10
e0,10,c,LocalAttribs,10
e0,18,d,LocalAttribs,10
e8,f0,e,LocalAttribs,12
e8,f8,f,LocalAttribs,10
e8,0,10,LocalAttribs,11
e8,8,11,LocalAttribs,10
e8,10,12,LocalAttribs,10
e8,18,13,LocalAttribs,10
f0,e8,14,LocalAttribs,13
f0,f0,15,LocalAttribs,12
f0,f8,16,LocalAttribs,10
f0,0,17,LocalAttribs,10
f0,8,18,LocalAttribs,10
f0,10,19,LocalAttribs,10
f0,18,1a,LocalAttribs,10
f8,e8,1b,LocalAttribs,10
f8,f0,1c,LocalAttribs,10
f8,f8,1d,LocalAttribs,10
f8,0,1e,LocalAttribs,10
f8,8,1f,LocalAttribs,10
f8,10,20,LocalAttribs,10
f8,18,21,LocalAttribs,10
0,e8,22,LocalAttribs,10
0,f0,23,LocalAttribs,10
0,f8,24,LocalAttribs,10
0,0,25,LocalAttribs,10
0,8,26,LocalAttribs,10
0,10,27,LocalAttribs,10
0,18,28,LocalAttribs,10
